#IDXCOL=1,DATACOL=6,SEP=' '
timeStep areaDensityCounting-PID5 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11
221 12 15 7 10 6 9
222 10 15 8 10 6 10
223 10 15 8 9 7 10
224 11 14 8 10 7 9
225 13 14 8 10 7 7
226 12 16 8 10 7 6
227 12 16 8 10 7 6
228 11 16 8 10 7 7
229 11 16 8 10 7 7
230 10 16 8 10 7 7
231 10 15 8 10 7 8
232 10 16 8 10 7 8
233 9 15 9 10 7 9
234 10 15 8 10 8 8
235 9 16 9 10 7 8
236 9 16 10 10 7 7
237 10 16 8 9 8 8
238 8 16 8 11 7 9
239 9 15 9 10 8 8
240 10 14 11 10 7 7
241 10 14 11 10 7 7
242 9 14 11 10 7 8
243 9 16 9 10 7 8
244 11 15 9 10 7 7
245 11 14 10 10 7 7
246 10 14 10 10 7 7
247 10 14 11 10 7 6
248 10 12 12 10 7 8
249 10 11 13 10 8 7
250 10 13 10 10 8 7
251 9 13 10 10 8 8
