timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13 areaDensityCounting-PID14 areaDensityCounting-PID15 areaDensityCounting-PID16 areaDensityCounting-PID17
1 0 0 12 0 10 6 0 0 10 0 10 0 6
2 0 0 12 0 10 6 0 0 10 0 10 0 6
3 3 5 15 4 13 7 4 0 13 5 13 3 7
4 5 7 14 4 14 8 5 1 15 6 13 4 8
5 6 8 11 6 11 12 6 1 14 8 11 7 9
6 6 11 12 7 10 13 9 0 13 9 8 7 11
7 10 11 11 6 10 12 9 1 12 9 8 7 13
8 11 10 11 7 9 12 11 1 10 9 8 9 11
9 12 10 11 7 10 11 11 0 11 9 7 9 11
10 12 10 11 8 9 11 11 0 11 9 7 8 12
11 12 9 11 8 9 12 11 0 11 9 7 8 12
12 12 10 10 7 10 12 11 1 10 9 7 8 12
13 10 11 9 7 10 13 10 1 11 9 7 8 12
14 11 11 9 7 10 12 10 1 11 9 7 8 12
15 11 11 9 7 10 12 10 1 11 9 7 8 12
16 11 11 10 8 9 12 10 1 11 9 7 8 12
17 11 11 10 8 9 12 10 1 11 9 7 8 12
18 11 11 10 8 9 12 10 1 11 9 7 8 12
19 11 11 10 8 9 12 11 1 10 9 7 8 12
20 11 10 10 8 10 13 11 0 10 9 7 8 12
21 11 11 10 8 10 13 11 0 10 9 7 8 12
22 11 11 10 8 10 13 11 0 10 9 7 8 12
23 11 11 10 9 9 13 11 0 10 9 7 8 12
24 11 11 10 9 9 13 10 1 10 9 7 8 12
25 11 11 10 8 10 13 10 1 10 9 7 8 12
26 11 11 10 8 10 13 11 1 9 9 7 8 12
27 11 11 10 8 10 13 10 1 10 9 7 8 12
28 11 11 10 9 10 13 10 0 10 9 7 8 12
29 11 11 10 9 10 13 11 0 9 9 7 8 12
30 11 11 10 9 10 13 11 0 9 9 7 8 12
31 11 11 10 9 10 13 11 0 9 9 7 8 12
32 11 11 10 8 10 13 10 1 10 9 7 8 12
33 11 11 10 8 10 13 11 1 9 9 7 8 12
34 11 11 10 8 10 13 11 1 9 9 7 8 12
35 11 10 11 8 10 13 11 1 9 9 7 8 12
36 10 12 11 8 10 12 11 1 9 9 7 8 12
37 10 12 11 8 10 12 10 1 10 9 7 8 12
38 10 14 10 7 10 12 11 1 9 9 7 8 12
39 10 14 10 7 10 12 11 1 9 9 7 8 12
40 10 13 10 7 10 13 11 1 9 9 7 8 12
41 10 13 10 7 10 13 11 1 9 9 7 8 12
42 10 12 10 7 10 13 11 1 9 9 7 8 12
43 10 12 10 7 10 13 11 1 8 9 7 8 12
44 11 12 10 7 10 13 11 1 8 9 7 8 12
45 10 12 11 8 10 13 11 0 8 9 7 8 12
46 10 13 10 8 10 12 11 0 8 9 7 8 12
47 10 13 10 7 11 13 11 0 8 9 7 8 12
48 10 12 11 7 11 13 10 0 8 9 7 8 12
