#IDXCOL=1,DATACOL=6,SEP=' '
timeStep areaDensityCounting-PID5 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11
1 0 0 5 0 10 6
2 0 0 5 0 10 6
3 2 1 4 5 5 8
4 3 1 4 5 5 7
5 5 4 2 4 4 5
6 5 4 3 4 4 5
7 5 5 3 3 4 5
8 5 4 4 4 3 5
9 4 5 3 4 3 6
10 4 5 3 4 3 6
11 4 5 3 4 3 6
12 4 5 3 4 3 6
13 5 4 3 4 3 6
14 5 4 3 4 3 6
15 5 4 3 4 3 6
16 5 4 3 4 3 6
17 5 4 3 4 3 6
18 5 4 3 4 3 6
19 5 4 3 4 3 6
20 5 4 3 4 3 6
21 5 4 3 4 3 6
22 5 4 3 4 3 6
23 5 4 3 4 3 6
24 5 4 3 4 3 6
25 5 4 3 4 3 6
26 5 4 3 4 3 6
27 5 4 3 4 3 6
28 5 4 3 4 3 6
29 5 4 3 4 3 6
30 5 4 3 4 3 6
31 5 4 3 4 3 6
32 5 4 3 4 3 6
33 5 4 3 4 3 6
34 5 4 3 4 3 6
35 5 4 3 4 3 6
36 5 4 3 4 3 6
37 5 4 3 4 3 6
38 5 4 3 4 3 6
39 5 4 3 4 3 6
40 5 4 3 4 3 6
41 5 4 3 4 3 6
42 5 4 3 4 3 6
43 5 4 3 4 3 6
44 5 4 3 4 3 6
45 5 4 3 4 3 6
46 5 4 3 4 3 6
47 5 4 3 4 3 6
48 5 4 3 4 3 6
49 5 4 3 4 3 6
50 5 4 3 4 3 6
51 5 4 3 4 3 6
52 5 4 3 4 3 6
53 5 4 3 4 3 6
54 5 4 3 4 3 6
55 5 4 3 4 3 6
