timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13 areaDensityCounting-PID14 areaDensityCounting-PID15 areaDensityCounting-PID16 areaDensityCounting-PID17
109 4 10 6 8 14 7 11 1 9 8 7 9 6
110 3 8 5 9 14 8 10 1 9 8 7 10 6
111 3 8 5 8 15 8 10 1 10 6 9 10 5
112 3 8 4 9 15 8 11 1 9 6 9 11 4
113 4 6 7 9 15 7 10 1 10 7 8 10 5
114 3 8 6 9 15 7 10 1 10 6 8 10 6
115 4 5 8 9 14 7 10 1 10 6 8 10 6
116 4 6 8 9 14 7 11 1 9 6 8 11 5
117 4 6 8 9 14 7 10 1 10 7 7 11 5
118 4 6 8 9 14 7 9 1 10 8 8 12 3
119 3 7 8 9 13 7 8 1 12 8 7 10 6
120 3 7 8 9 13 7 10 1 11 7 7 10 6
121 3 7 8 9 13 7 10 1 10 8 8 10 5
122 4 7 8 8 14 6 9 1 11 7 9 11 4
123 4 6 9 7 15 6 9 1 11 8 8 11 4
124 4 6 8 7 15 7 9 1 11 7 9 11 4
125 4 6 8 7 15 7 11 1 9 7 9 11 4
126 4 6 7 7 16 7 11 1 10 7 8 10 5
127 3 6 7 7 16 8 11 1 10 7 8 10 5
128 4 6 7 7 16 7 10 1 10 7 9 10 5
129 4 6 7 7 16 7 9 1 11 7 9 10 5
130 4 6 7 7 16 7 10 1 10 7 9 11 4
131 4 7 7 7 15 7 10 1 11 6 9 11 4
132 4 7 7 8 14 7 10 1 11 7 8 10 5
133 4 6 7 8 15 7 11 1 10 8 6 11 5
134 4 6 7 8 14 7 10 1 10 9 6 11 5
135 4 6 7 8 14 7 10 1 11 10 6 9 5
136 4 6 7 8 14 7 9 1 11 8 9 9 5
137 4 5 8 8 14 7 9 1 11 8 10 10 3
138 4 5 7 8 15 7 9 1 11 9 9 10 3
139 4 5 7 8 15 7 9 1 11 8 9 10 4
140 3 6 7 8 15 7 9 1 11 8 9 9 5
141 4 6 7 8 15 6 8 1 12 8 9 9 5
142 4 6 7 9 14 6 9 1 12 8 8 9 5
143 4 5 6 10 14 6 10 1 11 8 8 9 5
144 4 6 6 10 14 6 8 1 12 9 8 10 4
145 4 5 7 10 14 6 7 1 13 9 8 10 4
146 4 5 7 10 14 6 8 1 13 7 9 9 5
147 4 5 7 10 14 6 9 1 12 7 8 10 5
148 4 5 7 10 14 6 8 1 13 7 8 10 5
149 4 5 7 10 14 6 9 1 12 6 9 10 5
150 4 5 7 10 14 6 8 1 13 6 9 10 5
151 4 5 7 11 13 6 9 1 11 6 10 10 5
152 4 6 7 12 12 6 8 1 12 7 10 10 4
153 4 6 7 11 13 6 8 1 12 6 10 10 5
154 4 6 7 11 13 6 8 1 12 6 10 11 4
155 4 6 7 11 13 6 9 1 12 5 10 11 4
156 4 5 8 11 13 6 8 1 12 7 9 11 4
157 4 5 8 10 14 6 8 1 11 8 8 11 5
158 4 6 6 10 15 6 8 1 11 8 8 11 5
159 4 6 6 11 14 6 8 1 11 8 8 12 4
160 4 6 6 12 14 6 10 0 11 8 8 11 4
161 4 6 5 11 15 6 8 1 12 8 8 10 5
162 4 6 5 11 16 6 8 1 12 8 8 11 4
163 4 6 5 11 16 6 8 1 11 8 9 11 4
164 4 6 5 11 16 6 8 1 12 8 8 11 4
165 4 6 5 11 16 6 8 1 12 8 7 11 5
166 4 6 5 11 16 6 8 1 12 8 8 11 4
167 4 6 5 10 16 6 10 1 11 8 8 11 4
168 4 6 5 10 16 6 9 1 12 8 7 11 5
169 5 6 5 10 16 5 9 1 12 8 7 11 5
170 4 7 5 10 16 5 9 1 12 8 8 11 4
171 4 6 5 11 15 5 9 1 12 8 8 11 4
172 3 7 5 11 14 5 8 1 12 7 9 10 6
173 3 7 5 11 14 5 9 1 11 8 8 9 7
174 3 5 6 11 14 5 9 1 11 8 9 10 5
175 3 5 6 11 14 5 8 1 11 7 11 11 4
176 3 5 6 11 14 5 8 1 11 8 12 11 2
177 3 5 5 12 14 5 8 1 11 9 11 10 3
178 3 5 5 12 14 5 9 1 10 9 11 10 3
179 3 5 5 12 14 5 9 1 10 9 11 9 4
180 3 4 6 11 15 5 8 1 10 9 11 10 4
181 3 4 6 11 15 5 9 1 10 8 12 10 3
182 3 4 6 11 15 5 9 1 10 8 12 10 3
183 3 4 6 11 15 5 8 1 11 8 12 9 4
184 3 4 6 11 15 5 9 1 10 9 11 9 4
185 3 4 6 12 14 5 8 1 11 9 12 8 4
186 3 4 6 12 14 5 7 1 11 10 12 8 4
187 3 4 7 12 14 5 8 1 11 10 11 7 5
188 3 4 7 11 15 5 8 1 11 10 11 8 4
189 3 3 7 12 15 5 8 1 11 10 11 8 4
190 3 3 7 12 15 5 8 1 11 10 11 7 5
191 3 3 7 12 15 5 8 1 11 11 11 8 3
192 3 3 7 12 15 5 8 1 11 12 10 8 3
193 3 3 7 13 14 5 8 1 11 12 10 7 4
194 3 3 7 13 14 5 9 1 11 11 11 7 3
195 3 3 7 12 15 5 9 1 11 11 11 7 3
196 3 4 6 12 15 5 8 1 12 10 11 7 4
197 3 4 6 12 15 5 9 1 11 11 10 6 5
198 3 4 6 12 15 5 8 1 13 10 10 6 5
199 3 4 6 12 15 5 8 1 13 10 11 7 3
200 3 4 6 11 16 5 10 1 11 10 11 7 3
201 3 4 6 12 15 5 8 1 13 11 10 7 3
202 3 5 6 13 14 5 7 1 14 11 10 7 3
203 3 5 5 13 14 6 7 1 14 11 10 7 3
204 3 5 5 12 15 6 8 1 15 10 10 7 3
205 3 5 5 13 14 6 7 1 15 11 10 7 3
206 3 4 6 13 14 6 8 1 14 12 9 6 4
207 3 4 6 12 15 6 9 1 13 12 10 6 3
208 3 5 5 12 15 6 9 1 13 12 10 6 3
209 3 4 6 11 16 6 9 1 13 12 10 6 3
210 3 4 6 11 16 6 10 1 12 12 10 5 4
211 3 4 6 10 16 6 11 2 11 12 11 6 2
212 3 4 6 10 16 6 11 1 12 11 11 6 3
213 3 4 5 10 17 6 10 1 13 11 12 5 3
214 3 4 5 10 17 6 10 1 13 11 12 5 3
215 3 4 5 10 17 6 8 1 14 11 13 5 3
216 3 3 6 11 16 6 9 1 13 11 13 5 3
217 3 3 6 11 16 6 9 1 12 12 13 5 3
218 3 3 6 11 15 6 10 1 12 11 13 6 3
219 3 3 6 11 16 6 9 0 12 12 13 6 3
220 3 3 6 11 16 6 9 0 13 12 12 6 3
221 3 3 6 10 16 6 9 1 13 12 12 6 3
222 3 4 5 10 15 6 10 1 12 13 12 6 3
223 3 4 5 10 16 6 10 0 12 14 11 6 3
224 3 4 5 10 16 6 10 0 13 13 11 6 3
225 3 4 5 10 16 6 9 1 13 12 11 7 3
226 3 4 5 10 16 6 9 1 13 13 11 6 3
227 3 4 5 10 16 6 9 1 13 12 12 6 3
228 3 4 5 10 16 6 9 1 13 12 11 6 4
229 3 4 5 10 16 6 9 1 13 11 12 6 4
230 3 4 5 10 16 6 9 1 13 11 12 7 3
231 3 4 5 10 16 6 9 1 13 11 12 7 3
232 3 4 5 10 16 6 10 1 13 11 11 6 4
233 3 4 5 10 16 6 10 1 13 11 11 6 4
234 3 4 5 11 15 6 10 1 13 11 11 7 3
235 3 4 5 12 14 6 9 1 13 12 11 7 3
236 3 4 5 11 15 6 8 1 14 13 10 7 3
237 3 4 5 11 15 6 8 1 14 13 10 6 4
238 3 4 5 11 15 6 8 1 14 13 10 7 3
239 3 4 5 11 15 6 8 1 14 12 11 7 3
240 3 4 5 11 15 6 8 1 14 12 11 7 3
241 3 4 5 10 16 6 8 1 14 12 11 7 3
242 3 4 5 10 16 6 8 1 14 12 11 7 3
243 3 4 5 9 17 6 8 1 14 12 11 7 3
244 3 4 5 9 17 6 8 1 14 12 11 7 3
245 3 4 5 10 16 6 8 1 14 11 12 7 3
246 3 4 5 10 16 6 9 1 13 11 12 7 3
247 3 4 5 8 17 6 9 1 13 12 12 7 3
248 3 5 4 8 17 6 8 1 13 12 13 6 4
249 3 5 4 9 16 6 9 1 13 11 13 6 4
250 3 4 4 11 15 6 9 1 13 11 13 6 4
251 3 4 4 10 16 6 10 1 13 10 13 6 4
252 3 4 5 10 15 6 12 1 11 10 13 6 4
253 3 4 5 10 15 6 9 1 13 11 13 6 4
254 3 4 5 10 15 6 9 1 13 11 13 6 4
255 3 4 5 10 15 6 7 1 14 12 13 6 4
256 3 4 5 9 16 6 9 1 12 12 13 6 4
257 3 4 5 11 13 6 11 1 11 11 13 6 4
258 3 4 5 11 13 6 11 1 11 11 13 6 4
259 3 3 6 12 12 6 11 1 11 10 14 6 4
260 3 3 6 12 12 6 10 1 11 11 14 6 4
261 3 3 6 11 13 6 11 0 11 11 13 6 5
262 3 3 6 11 13 6 9 0 13 11 13 6 5
263 3 4 6 11 12 6 10 0 12 10 14 7 4
264 3 4 6 9 14 6 10 0 12 10 14 7 4
265 3 4 6 9 14 6 10 0 12 11 12 7 5
266 3 4 6 10 12 6 9 1 12 10 14 7 5
267 3 4 6 9 13 6 8 1 13 10 14 7 5
268 3 4 6 9 13 6 9 1 12 10 14 8 4
269 3 4 6 9 13 6 9 1 12 10 14 8 4
270 3 4 6 9 13 6 8 1 12 11 14 7 5
271 3 4 6 9 14 6 8 1 12 10 15 7 5
272 3 4 6 9 13 6 7 0 14 14 11 7 5
273 3 4 6 9 13 6 9 1 13 13 11 7 5
274 3 4 6 8 14 6 9 1 13 11 13 8 4
275 3 4 6 7 15 6 9 1 13 13 11 8 4
276 3 4 6 9 13 6 8 1 13 14 11 8 4
277 3 4 6 8 13 6 9 1 12 13 12 8 4
278 3 4 6 8 13 6 10 1 11 12 12 9 4
279 3 4 6 8 13 6 9 1 12 13 11 8 5
280 3 4 6 8 12 6 9 1 13 13 11 8 5
281 3 4 6 8 12 6 9 1 13 13 11 8 5
282 3 4 6 7 12 6 9 2 13 13 11 9 4
283 3 4 6 7 12 6 11 0 13 13 11 9 4
284 3 4 6 8 11 6 11 0 13 12 12 9 4
285 3 4 6 7 12 6 9 1 14 13 11 8 5
286 3 4 6 7 12 6 9 1 14 13 11 8 5
287 3 4 6 7 12 6 9 2 13 13 12 7 5
288 3 4 6 8 11 6 10 1 13 14 10 8 5
289 3 4 6 9 10 6 10 1 13 14 10 8 5
290 3 4 6 9 10 6 10 0 13 13 10 10 4
291 3 4 5 8 12 6 10 0 13 13 10 10 4
292 3 5 5 8 12 6 10 1 13 13 10 10 4
293 3 5 5 8 12 6 9 1 14 13 10 10 4
294 3 5 5 8 12 6 9 1 14 12 11 10 4
295 3 4 6 8 12 6 9 1 14 13 11 9 4
296 3 4 6 8 12 6 8 1 14 14 11 9 4
297 3 4 6 8 12 6 8 1 14 14 10 9 5
298 3 3 6 8 13 6 8 1 14 14 10 8 6
299 3 3 6 8 13 6 8 1 14 13 10 8 7
300 3 3 6 8 13 6 9 1 13 13 10 8 7
301 3 3 6 8 13 6 9 1 13 13 10 9 6
302 3 3 6 10 11 6 8 1 14 13 10 9 6
303 3 3 6 9 12 6 9 1 13 13 10 9 6
304 3 3 6 9 12 6 10 1 12 12 11 9 6
305 3 3 6 9 12 6 9 1 13 11 12 9 6
306 3 3 6 9 12 6 10 1 12 11 12 10 5
307 3 3 6 9 12 6 11 1 12 10 12 10 5
308 3 3 6 9 12 6 10 1 13 10 12 10 5
309 3 3 6 9 12 6 9 1 13 11 12 10 5
310 3 3 6 9 12 6 10 0 13 11 12 10 5
311 3 3 6 9 11 6 10 1 13 11 12 10 5
312 3 3 6 9 11 6 9 1 14 11 12 10 5
313 3 3 6 9 10 6 9 1 13 12 12 9 6
314 3 3 6 9 9 6 11 1 12 12 12 9 6
315 3 3 6 9 9 6 10 1 13 12 12 10 5
316 3 3 6 9 9 6 10 1 13 12 12 10 5
317 3 3 6 9 10 6 10 0 13 11 13 10 5
318 3 3 6 9 10 6 10 0 13 11 13 10 5
319 3 3 6 9 10 6 10 0 14 10 12 11 5
320 3 3 6 9 9 6 10 2 13 11 11 11 5
321 3 3 6 9 10 6 9 1 14 11 11 11 5
322 3 3 6 9 10 6 10 1 13 10 12 11 5
323 3 3 6 9 10 6 10 1 13 10 12 10 6
324 3 3 6 9 10 6 10 1 13 10 12 9 7
325 3 3 6 9 9 6 10 1 14 10 12 9 7
326 3 3 6 8 10 6 12 1 12 10 12 9 7
327 3 3 6 8 10 6 11 1 12 11 12 9 7
328 3 3 6 8 11 6 12 1 12 10 12 9 7
329 3 3 6 8 11 6 12 1 12 10 12 9 7
330 3 3 6 9 10 6 12 1 12 10 11 9 8
331 3 3 6 9 10 6 12 1 11 11 11 9 8
