#IDXCOL=1,DATACOL=6,SEP=' '
timeStep areaDensityCounting-PID5 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11
1 0 0 10 0 10 6
2 0 0 10 0 10 6
3 2 3 7 4 6 8
4 3 3 6 5 5 8
5 3 4 5 5 4 9
6 3 4 5 5 4 9
7 3 4 5 5 3 9
8 4 3 6 4 4 8
9 3 3 6 4 4 9
10 4 3 6 5 4 8
11 4 3 6 5 4 8
12 4 4 6 4 4 8
13 4 4 5 3 5 8
14 4 3 4 4 4 9
15 4 3 4 5 4 9
16 4 3 5 5 4 8
17 4 3 6 4 3 9
18 4 3 5 4 4 9
19 4 3 6 5 3 9
20 4 4 5 5 3 9
21 4 6 4 5 3 8
22 4 6 3 5 3 8
23 4 6 4 5 3 8
24 3 5 4 6 3 9
25 3 5 4 5 4 8
26 3 4 5 6 3 8
27 3 4 5 6 3 8
28 3 4 5 6 3 8
29 3 5 5 5 4 8
30 3 4 6 5 4 8
31 4 6 4 6 3 7
32 4 7 4 5 4 6
33 5 7 3 6 3 6
34 6 6 3 6 4 5
35 4 5 4 6 4 7
36 5 5 4 5 5 6
37 4 5 4 4 6 7
38 3 6 3 5 5 8
39 3 6 3 5 5 8
40 4 6 3 5 5 7
41 5 6 3 5 5 6
42 4 6 3 6 4 7
43 3 6 3 6 4 8
44 3 7 2 6 4 8
45 3 6 3 6 4 8
46 4 6 3 6 4 7
47 3 5 3 6 5 8
48 3 5 4 6 5 7
49 3 5 4 6 5 7
50 2 5 4 5 6 8
51 3 4 4 5 7 7
52 3 4 4 5 7 7
53 2 4 5 5 6 8
54 3 5 4 5 6 7
55 2 5 4 6 5 8
56 3 5 4 6 5 7
57 3 5 4 6 5 7
58 3 5 4 7 4 7
59 4 5 4 6 5 6
60 4 5 4 6 5 6
61 5 5 4 5 6 5
62 4 5 4 5 6 6
63 4 5 4 6 5 6
64 5 5 4 7 4 5
65 5 5 4 7 4 5
66 4 5 4 5 6 6
67 4 5 4 5 5 6
68 5 5 4 5 5 5
69 5 5 5 3 7 5
70 5 7 5 4 4 5
71 5 7 4 4 5 5
72 5 7 3 4 5 5
73 4 8 3 4 4 6
74 4 6 4 4 5 6
75 4 6 4 5 4 6
76 4 6 4 5 4 6
77 4 6 4 5 4 6
78 4 6 4 6 3 6
79 4 6 4 5 4 6
80 4 5 4 5 5 6
81 5 6 4 4 5 5
82 5 7 4 4 5 4
83 5 7 4 4 5 4
84 6 6 4 4 5 4
85 6 6 4 4 5 4
86 5 7 3 4 5 5
87 5 7 3 5 4 5
88 5 7 3 5 4 5
89 5 7 3 5 4 5
90 5 7 3 6 3 5
91 5 7 3 6 3 5
92 5 6 4 6 3 5
93 5 6 4 6 3 5
94 5 7 5 4 4 4
95 5 8 4 4 4 4
96 5 6 6 5 3 4
97 5 6 6 5 3 4
98 4 8 5 5 3 5
99 6 7 6 4 3 4
100 7 7 5 5 2 4
101 7 8 4 5 2 4
102 7 7 6 4 2 4
103 8 5 6 5 2 4
104 8 5 6 5 2 4
105 7 7 5 5 2 4
106 7 7 4 5 2 5
107 8 6 5 4 2 5
108 7 6 4 4 3 6
109 7 7 3 4 3 6
110 7 6 4 4 3 6
111 6 7 4 4 3 6
112 7 7 3 4 3 6
113 7 6 5 3 3 6
114 7 6 4 4 3 6
115 7 7 3 4 3 6
116 7 6 3 4 3 7
117 7 6 3 4 3 7
118 8 6 4 3 3 6
119 8 5 4 3 4 6
120 7 7 2 3 4 7
121 7 7 2 3 4 7
122 6 5 3 4 4 8
123 6 7 1 4 4 8
124 8 7 1 4 3 7
125 8 5 4 3 4 6
126 6 5 5 3 3 8
127 8 5 5 3 3 6
128 8 5 4 3 4 6
129 9 5 3 3 3 5
130 9 5 3 3 3 5
131 8 5 4 3 3 6
132 7 5 4 3 3 7
133 8 6 3 3 3 6
134 7 6 3 3 4 7
135 6 6 3 3 4 7
136 6 7 3 4 3 7
137 7 7 2 4 3 7
138 8 7 3 4 2 5
139 7 7 4 4 3 5
140 6 9 3 2 4 6
141 5 9 3 3 4 6
142 5 9 3 3 4 6
143 5 9 2 3 4 7
144 5 9 3 3 3 7
145 5 9 4 3 3 6
146 5 9 4 3 3 6
147 6 8 5 3 3 5
148 6 9 4 3 3 5
149 6 10 3 3 3 5
150 6 10 4 3 3 4
151 6 10 4 3 3 4
152 6 9 4 3 3 5
153 6 8 5 3 3 5
154 7 9 4 3 3 4
155 7 9 4 3 3 4
