#IDXCOL=1,DATACOL=6,SEP=' '
timeStep areaDensityCounting-PID5 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11
1 0 0 5 0 10 6
2 0 0 5 0 10 6
3 3 1 4 4 6 7
4 3 2 4 4 5 7
5 3 3 3 4 5 7
6 3 3 4 3 5 7
7 3 3 4 3 5 7
8 4 3 4 2 5 6
9 4 4 4 3 4 6
10 4 4 4 4 2 6
11 4 5 3 3 2 6
12 4 5 3 4 2 6
13 4 5 3 4 2 6
14 4 5 4 4 2 6
15 3 5 4 4 2 7
16 4 4 4 4 2 7
17 4 5 4 4 2 6
18 4 5 4 4 2 6
19 4 6 4 3 2 6
20 3 7 4 3 2 6
21 4 6 5 2 2 6
22 4 7 4 2 2 6
23 4 4 6 2 2 6
24 5 4 5 2 2 6
25 4 5 5 2 2 6
26 4 6 4 3 2 6
27 5 5 3 3 2 6
28 5 4 4 3 2 6
29 5 4 4 3 2 6
30 5 5 4 3 2 6
31 5 5 4 2 3 6
32 5 5 4 2 3 6
33 5 5 4 3 2 6
34 5 5 4 3 2 6
35 5 5 4 3 2 6
36 5 6 3 3 2 6
37 5 5 3 4 2 6
38 5 5 3 3 3 6
39 5 5 3 3 3 6
40 5 5 4 3 2 6
41 5 4 4 3 3 6
42 5 4 3 4 3 6
43 5 5 3 3 3 6
44 5 5 3 3 3 6
45 5 5 3 2 4 6
46 5 5 3 2 4 6
47 5 5 3 3 3 6
48 5 5 3 3 3 6
49 5 4 3 3 4 6
50 5 4 3 3 3 6
51 5 4 3 3 3 6
52 5 5 3 3 3 6
53 5 5 3 3 3 6
54 5 4 4 3 3 6
55 5 4 4 3 3 6
56 5 4 4 3 3 6
57 5 4 3 4 2 6
58 5 4 3 4 2 6
59 5 4 3 3 3 6
60 5 4 3 3 3 6
61 5 4 3 2 4 6
62 5 4 3 3 3 6
63 5 4 3 3 3 6
64 5 4 3 4 3 6
65 5 4 3 4 3 6
66 5 4 3 4 3 6
67 5 4 3 4 3 6
68 5 4 3 4 3 6
69 5 3 3 4 4 6
70 5 3 3 3 5 6
71 5 3 3 3 5 6
72 5 3 3 3 5 6
73 5 3 3 4 4 6
74 5 3 3 4 4 6
75 5 3 3 4 4 6
76 5 3 3 3 5 6
77 5 3 3 3 5 6
78 5 3 3 4 4 6
79 5 3 3 3 5 6
80 5 3 3 3 5 6
81 5 3 3 3 5 6
82 5 3 3 3 5 6
83 5 3 3 3 5 6
84 5 3 3 3 5 6
85 5 2 3 4 5 6
86 5 3 3 4 4 6
87 5 3 3 4 4 6
88 5 3 2 4 5 6
89 5 3 2 4 5 6
90 5 3 2 4 5 6
91 5 3 2 4 5 6
92 5 3 2 4 5 6
93 5 3 2 4 5 6
94 5 3 2 4 5 6
95 5 3 2 4 5 6
96 5 3 2 4 5 6
97 5 3 2 4 5 6
98 5 3 2 4 5 6
99 5 3 2 4 5 6
100 5 3 2 4 5 6
101 5 3 2 5 4 6
102 5 3 2 6 3 6
103 5 4 2 5 3 6
104 5 4 2 4 4 6
105 5 3 3 5 3 6
106 5 4 2 5 3 6
107 5 4 2 6 2 6
108 5 4 2 6 2 6
109 5 4 2 5 3 6
110 5 5 2 4 3 6
111 5 5 2 3 4 6
112 5 5 2 3 4 6
113 5 5 2 4 3 6
114 5 5 2 4 3 6
115 5 5 2 4 3 6
116 5 5 2 4 3 6
117 5 5 2 4 3 6
118 5 5 2 4 3 6
119 5 5 2 4 3 6
120 5 5 2 4 3 6
121 5 5 2 4 3 6
122 5 5 2 4 3 6
123 5 5 2 4 3 6
124 5 5 2 4 3 6
125 5 5 2 4 3 6
126 5 5 2 4 3 6
