#IDXCOL=1,DATACOL=6,SEP=' '
timeStep areaDensityCounting-PID5 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11
1 0 0 10 0 10 6
2 0 0 10 0 10 6
3 4 5 5 4 14 8
4 6 6 5 5 13 7
5 9 6 5 8 10 8
6 9 7 7 7 8 10
7 11 7 6 7 8 11
8 11 8 6 6 9 10
9 11 8 5 7 8 11
10 10 8 6 8 7 11
11 10 7 7 8 7 11
12 10 7 7 8 7 11
13 10 7 7 8 7 11
14 10 7 7 8 7 11
15 10 7 7 8 7 11
16 9 7 8 8 7 11
17 9 8 7 8 7 11
18 9 8 7 8 7 11
19 10 7 7 8 7 11
20 10 8 6 8 7 11
21 10 8 6 8 7 11
22 11 7 7 8 7 10
23 11 8 6 8 7 10
24 11 8 6 8 7 10
25 11 8 6 8 7 10
26 11 7 7 8 7 10
27 11 7 7 8 7 10
28 11 7 7 8 7 10
29 11 7 7 8 7 10
30 11 7 7 8 7 10
31 11 7 7 8 7 10
32 11 7 7 8 7 10
33 11 7 7 8 7 10
34 11 7 7 8 7 10
35 11 7 7 8 7 10
36 11 7 7 8 7 10
37 11 7 7 8 7 10
38 11 7 7 8 7 10
39 11 7 7 8 7 10
40 11 7 7 8 7 10
41 11 7 7 8 7 10
42 11 7 7 8 7 10
43 11 7 7 8 7 10
44 11 7 7 8 7 10
45 11 7 7 8 7 10
46 11 7 7 8 7 10
47 11 7 7 8 7 10
48 11 7 7 8 7 10
49 11 7 7 8 7 10
50 10 7 7 8 7 11
51 10 7 7 8 7 11
52 10 7 7 8 7 11
53 10 7 7 8 7 11
54 10 7 7 8 7 11
55 10 7 7 8 7 11
56 10 7 7 8 7 11
