#IDXCOL=1,DATACOL=1,SEP=' '
pedestrianId trajectory-PID6
1 [{"footSteps":[{"startTime":0.0,"endTime":0.6206943297753101,"start":{"x":2.229257887517147,"y":0.7180096021947873},"end":{"x":1.5931571053182387,"y":1.061508965624641}},{"startTime":0.6206943297753101,"endTime":1.2413886595506203,"start":{"x":1.5931571053182387,"y":1.061508965624641},"end":{"x":0.8919560382112153,"y":0.875686369004025}}]}]
2 [{"footSteps":[{"startTime":0.0,"endTime":0.5271370458246154,"start":{"x":2.431257887517147,"y":0.7180096021947873},"end":{"x":1.9732044040952967,"y":1.3201269227635977}},{"startTime":0.5271370458246154,"endTime":1.0542740916492308,"start":{"x":1.9732044040952967,"y":1.3201269227635977},"end":{"x":1.27452846586416,"y":1.6167854110113056}}]}]
3 [{"footSteps":[{"startTime":0.0,"endTime":0.5783305996007337,"start":{"x":2.633257887517147,"y":0.7180096021947873},"end":{"x":2.633257887517147,"y":1.4430486674014196}},{"startTime":0.5783305996007337,"endTime":1.1566611992014675,"start":{"x":2.633257887517147,"y":1.4430486674014196},"end":{"x":2.3033188408365532,"y":2.0886661017626738}}]}]
4 [{"footSteps":[{"startTime":0.0,"endTime":0.5990713434981434,"start":{"x":2.8352578875171472,"y":0.7180096021947873},"end":{"x":3.4154396273983654,"y":1.3040630509398254}},{"startTime":0.5990713434981434,"endTime":1.1981426869962868,"start":{"x":3.4154396273983654,"y":1.3040630509398254},"end":{"x":3.3864477523865184,"y":2.1021199127557813}}]}]
5 [{"footSteps":[{"startTime":0.0,"endTime":0.7534283806032128,"start":{"x":3.037257887517147,"y":0.7180096021947873},"end":{"x":2.3221187406467205,"y":0.8947032525682349}},{"startTime":0.7534283806032128,"endTime":1.5068567612064256,"start":{"x":2.3221187406467205,"y":0.8947032525682349},"end":{"x":1.7143175130519896,"y":1.2835771645566951}}]}]
6 [{"footSteps":[{"startTime":0.0,"endTime":0.6110753932043828,"start":{"x":3.239257887517147,"y":0.7180096021947873},"end":{"x":3.8337807558076022,"y":0.9719270831939031}},{"startTime":0.6110753932043828,"endTime":1.2221507864087655,"start":{"x":3.8337807558076022,"y":0.9719270831939031},"end":{"x":4.179238996399269,"y":1.1932720293034618}}]}]
7 [{"footSteps":[{"startTime":0.0,"endTime":0.7725653212158828,"start":{"x":6.6846762688614545,"y":0.6583388203017835},"end":{"x":6.11680832699388,"y":1.0198924541304213}},{"startTime":0.7725653212158828,"endTime":1.5451306424317657,"start":{"x":6.11680832699388,"y":1.0198924541304213},"end":{"x":5.510004828050363,"y":1.1927044819463564}}]}]
8 [{"footSteps":[{"startTime":0.0,"endTime":0.7575288392742312,"start":{"x":6.8866762688614545,"y":0.6583388203017835},"end":{"x":6.540320010868301,"y":1.2871298793925814}},{"startTime":0.7575288392742312,"endTime":1.5150576785484624,"start":{"x":6.540320010868301,"y":1.2871298793925814},"end":{"x":5.86232785622513,"y":1.5568781081153338}}]}]
9 [{"footSteps":[{"startTime":0.0,"endTime":0.7401943283299441,"start":{"x":7.088676268861454,"y":0.6583388203017835},"end":{"x":7.088676268861454,"y":1.3346693010676605}},{"startTime":0.7401943283299441,"endTime":1.4803886566598883,"start":{"x":7.088676268861454,"y":1.3346693010676605},"end":{"x":7.004886668942994,"y":2.005789426051636}}]}]
10 [{"footSteps":[{"startTime":0.0,"endTime":0.740368188824364,"start":{"x":7.290676268861454,"y":0.6583388203017835},"end":{"x":7.743019599908837,"y":1.1385687625693202}},{"startTime":0.740368188824364,"endTime":1.480736377648728,"start":{"x":7.743019599908837,"y":1.1385687625693202},"end":{"x":7.451773470422526,"y":0.9836994185803498}}]}]
11 [{"footSteps":[{"startTime":0.0,"endTime":0.5518035136578544,"start":{"x":7.492676268861454,"y":0.6583388203017835},"end":{"x":8.225813578223086,"y":0.8899910423859587}},{"startTime":0.5518035136578544,"endTime":1.1036070273157088,"start":{"x":8.225813578223086,"y":0.8899910423859587},"end":{"x":8.325594567639692,"y":1.7162008534137503}}]}]
12 [{"footSteps":[{"startTime":0.0,"endTime":0.602388346496439,"start":{"x":11.219655692729768,"y":0.6583388203017835},"end":{"x":10.681019582821474,"y":0.9974800746884833}},{"startTime":0.602388346496439,"endTime":1.204776692992878,"start":{"x":10.681019582821474,"y":0.9974800746884833},"end":{"x":10.17909017641781,"y":1.3919422555805911}}]}]
13 [{"footSteps":[{"startTime":0.0,"endTime":0.6155393740865432,"start":{"x":11.421655692729768,"y":0.6583388203017835},"end":{"x":10.741105274872734,"y":0.7834560879187131}},{"startTime":0.6155393740865432,"endTime":1.2310787481730865,"start":{"x":10.741105274872734,"y":0.7834560879187131},"end":{"x":10.50226520868864,"y":0.9799688974307628}}]}]
14 [{"footSteps":[{"startTime":0.0,"endTime":0.5638671752162183,"start":{"x":11.623655692729768,"y":0.6583388203017835},"end":{"x":11.62365569272977,"y":1.4363611188148386}},{"startTime":0.5638671752162183,"endTime":1.1277343504324366,"start":{"x":11.62365569272977,"y":1.4363611188148386},"end":{"x":11.432866752919939,"y":1.7409387558734213}}]}]
15 [{"footSteps":[{"startTime":0.0,"endTime":0.6915487401583551,"start":{"x":11.825655692729768,"y":0.6583388203017835},"end":{"x":12.41306740316077,"y":1.0022223712037397}},{"startTime":0.6915487401583551,"endTime":1.3830974803167102,"start":{"x":12.41306740316077,"y":1.0022223712037397},"end":{"x":12.277631692013905,"y":1.1219724943840483}}]}]
16 [{"footSteps":[{"startTime":0.0,"endTime":0.5641350077952457,"start":{"x":12.027655692729768,"y":0.6583388203017835},"end":{"x":12.702423799095442,"y":0.6898330460091611}},{"startTime":0.5641350077952457,"endTime":1.1282700155904914,"start":{"x":12.702423799095442,"y":0.6898330460091611},"end":{"x":13.346603277441986,"y":0.7947829129269279}}]}]
17 [{"footSteps":[{"startTime":0.0,"endTime":0.4849732986616752,"start":{"x":11.219655692729768,"y":0.8603388203017834},"end":{"x":10.728728359602124,"y":1.5697563681706956}},{"startTime":0.4849732986616752,"endTime":0.9699465973233504,"start":{"x":10.728728359602124,"y":1.5697563681706956},"end":{"x":10.384283651731526,"y":2.3575649088894486}}]}]
18 [{"footSteps":[{"startTime":0.0,"endTime":0.5255728369976683,"start":{"x":11.421655692729768,"y":0.8603388203017834},"end":{"x":11.209388028322348,"y":1.7007118560362313}},{"startTime":0.5255728369976683,"endTime":1.0511456739953366,"start":{"x":11.209388028322348,"y":1.7007118560362313},"end":{"x":11.43413342468238,"y":2.5455558771932663}}]}]
19 [{"footSteps":[{"startTime":0.0,"endTime":0.6986335016945697,"start":{"x":11.623655692729768,"y":0.8603388203017834},"end":{"x":11.49249888005631,"y":0.6018590905775074}},{"startTime":0.6986335016945697,"endTime":1.3972670033891395,"start":{"x":11.49249888005631,"y":0.6018590905775074},"end":{"x":11.121810654013334,"y":0.782792551201222}}]}]
20 [{"footSteps":[{"startTime":0.0,"endTime":0.5419363070395301,"start":{"x":11.825655692729768,"y":0.8603388203017834},"end":{"x":12.173869922515633,"y":1.475774825600308}},{"startTime":0.5419363070395301,"endTime":1.0838726140790602,"start":{"x":12.173869922515633,"y":1.475774825600308},"end":{"x":12.418475468748541,"y":2.146100973019878}}]}]
21 [{"footSteps":[{"startTime":0.0,"endTime":0.5532408358686681,"start":{"x":12.027655692729768,"y":0.8603388203017834},"end":{"x":12.330547540373313,"y":1.625979839591463}},{"startTime":0.5532408358686681,"endTime":1.1064816717373362,"start":{"x":12.330547540373313,"y":1.625979839591463},"end":{"x":13.125209062989683,"y":1.8415319359878741}}]}]
22 [{"footSteps":[]}]
23 [{"footSteps":[]}]
24 [{"footSteps":[]}]
25 [{"footSteps":[]}]
