timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13 areaDensityCounting-PID14 areaDensityCounting-PID15 areaDensityCounting-PID16 areaDensityCounting-PID17
109 4 8 8 10 14 7 7 1 9 6 7 6 13
110 4 8 8 10 14 7 6 1 10 6 7 8 11
111 4 8 8 10 14 7 7 1 9 7 6 6 13
112 4 9 7 10 14 7 9 1 7 6 7 7 12
113 4 9 7 10 14 7 8 1 8 6 7 7 12
114 4 9 7 10 14 7 8 1 8 6 7 7 12
115 4 9 7 10 14 7 8 1 8 6 7 7 12
116 4 9 7 10 14 7 10 0 7 6 7 7 12
117 4 9 7 10 14 7 10 0 7 6 7 8 11
118 4 9 7 10 14 7 9 1 7 5 6 10 11
119 4 9 7 10 14 7 9 1 7 6 6 9 11
120 4 9 7 10 14 7 8 1 8 6 6 10 10
121 4 9 7 10 14 7 8 1 8 6 7 9 10
122 4 9 7 10 14 7 10 1 7 5 7 8 11
123 4 9 7 10 14 7 11 0 7 4 7 9 11
124 4 9 7 10 14 7 11 0 7 4 6 9 12
125 4 9 7 10 14 7 11 0 7 6 5 8 12
126 4 9 7 10 14 7 11 0 7 6 5 9 11
127 4 9 7 10 14 7 12 0 6 6 6 9 10
128 4 9 7 10 14 7 11 0 6 6 5 11 10
129 4 9 7 10 14 7 11 0 6 6 5 11 10
130 4 8 8 10 14 7 10 0 7 6 5 11 10
131 4 8 8 10 14 7 10 0 6 6 7 10 10
132 4 8 8 10 14 7 9 0 7 6 7 9 11
133 4 8 8 10 14 7 9 0 7 6 7 10 10
134 4 8 8 9 15 7 10 0 7 6 6 10 10
135 4 8 8 9 15 7 9 0 7 7 6 10 10
136 4 8 8 9 15 7 8 0 9 6 5 10 11
137 4 8 8 9 15 7 8 0 9 6 5 10 11
138 4 8 7 9 16 7 10 0 7 7 5 9 11
139 4 8 7 9 16 7 10 0 7 6 5 9 12
140 4 7 8 9 16 7 10 0 7 6 5 9 12
141 4 7 8 9 15 7 9 0 7 6 6 9 12
142 4 7 8 9 15 7 8 0 8 6 6 9 12
143 4 7 8 9 15 7 9 1 8 6 5 10 11
144 4 6 9 10 14 7 8 1 9 6 4 10 12
145 4 6 8 10 14 7 7 1 10 6 4 10 12
146 4 6 8 9 15 7 7 1 10 6 5 9 12
147 4 6 7 10 16 7 7 1 9 7 5 9 12
148 4 6 7 10 16 7 8 1 8 6 5 10 12
149 4 6 7 10 16 7 8 1 8 7 6 9 11
150 4 7 6 10 16 7 7 1 9 7 6 9 11
151 4 7 6 10 16 7 7 1 9 7 5 9 12
152 4 6 7 9 16 7 7 1 9 7 6 9 12
153 4 6 7 9 16 7 7 1 9 7 6 8 13
154 4 6 7 9 16 7 9 1 7 7 6 8 13
155 4 6 7 9 16 7 8 1 7 7 7 9 12
156 4 6 7 10 15 7 9 1 7 6 7 8 13
157 4 6 7 10 15 7 9 1 7 6 7 9 12
158 4 6 7 10 15 7 8 1 8 6 7 10 11
159 4 6 7 10 15 7 7 1 7 7 8 10 11
160 4 6 7 10 14 7 9 1 6 7 8 11 10
161 4 6 7 9 15 7 10 1 5 7 8 10 11
162 4 6 7 8 16 7 9 1 7 6 8 10 11
163 4 5 8 8 16 7 9 1 7 6 8 10 11
164 4 5 8 9 15 7 9 1 7 6 8 10 11
165 4 5 8 10 14 7 10 1 6 6 8 9 12
166 4 6 6 9 16 7 9 1 7 6 8 10 11
167 4 5 7 9 16 7 8 1 7 7 8 11 10
168 4 5 7 9 16 7 9 1 6 7 8 10 11
169 4 5 7 9 16 7 7 1 7 7 8 11 11
170 4 6 6 9 16 7 7 1 7 8 8 10 11
171 4 5 6 10 16 7 9 1 6 8 7 10 11
172 4 5 6 10 15 7 8 1 8 8 7 10 11
173 4 5 6 10 15 7 7 1 9 8 7 11 10
174 4 5 6 9 16 7 7 1 9 8 7 11 10
175 4 5 6 10 15 7 6 1 9 8 8 11 10
176 4 5 6 10 15 7 6 1 9 8 8 10 11
177 4 5 6 11 14 7 6 1 9 8 8 10 11
178 4 5 6 10 15 7 7 1 8 8 8 10 11
179 4 5 6 11 14 7 7 1 7 7 10 10 11
180 4 4 7 11 14 7 7 1 7 7 10 11 10
181 4 4 7 11 14 7 7 1 7 7 10 11 10
182 4 4 7 11 14 7 7 1 7 9 9 9 11
183 4 4 7 11 14 7 7 1 7 9 9 9 11
184 4 4 6 11 15 7 7 1 7 10 8 9 11
185 4 4 6 12 14 7 6 1 7 10 9 10 10
186 4 4 6 12 14 7 6 1 7 10 10 9 10
187 4 4 6 12 14 7 6 1 7 11 9 9 10
188 4 4 6 12 14 7 6 1 7 11 8 9 11
189 4 4 6 13 13 7 6 1 7 11 9 8 11
190 4 4 6 13 13 7 6 1 7 11 9 8 11
191 4 4 6 12 14 7 6 1 7 12 8 9 10
192 4 4 6 11 15 7 6 1 7 11 9 10 9
193 4 4 6 10 16 7 6 1 7 11 10 8 10
194 4 4 6 10 16 7 6 1 7 10 10 9 10
195 4 4 6 10 15 7 7 1 7 10 10 9 10
196 4 4 6 11 14 7 7 1 7 10 10 9 10
197 4 4 6 11 14 7 6 1 8 10 11 8 10
198 4 4 6 9 16 7 6 1 8 10 11 8 10
199 4 4 6 9 16 7 7 1 7 10 11 8 10
200 4 4 6 9 16 7 6 1 9 11 9 7 11
201 4 4 6 9 16 7 6 1 9 11 9 8 10
202 4 4 6 9 16 7 6 1 8 11 10 8 10
203 4 4 6 9 16 7 6 1 8 11 10 8 10
204 4 4 6 8 17 7 6 1 8 12 9 8 10
205 4 4 6 8 17 7 6 1 8 13 9 8 9
206 4 4 6 8 17 7 7 1 7 13 9 8 9
207 4 4 6 8 17 7 7 1 7 13 9 8 9
208 4 4 6 8 16 7 8 2 7 12 9 8 9
209 4 4 6 9 16 7 8 1 7 12 9 8 9
210 4 4 6 10 15 7 8 1 7 12 9 8 9
211 4 4 6 10 15 7 8 1 7 12 9 8 9
212 4 4 6 10 15 7 8 1 7 12 9 7 10
213 4 4 6 10 15 7 9 1 7 10 9 8 10
214 4 4 6 9 16 7 8 1 7 11 9 9 9
215 4 4 6 9 16 7 8 1 7 10 10 9 9
216 4 4 6 10 15 7 8 1 7 10 10 9 9
217 4 4 6 11 14 7 8 1 7 10 10 9 9
218 4 4 6 11 14 7 8 1 7 10 10 9 9
219 4 4 6 11 14 7 8 1 7 10 10 9 9
220 4 4 6 11 13 7 8 1 8 11 9 9 9
221 4 4 6 12 13 7 7 0 9 11 9 9 9
222 4 4 6 11 14 7 7 1 8 11 9 9 9
223 4 4 6 11 14 7 6 1 9 11 9 9 9
224 4 4 6 11 14 7 7 1 9 10 9 9 9
225 4 4 6 11 14 7 7 1 9 10 9 9 9
