timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13 areaDensityCounting-PID14 areaDensityCounting-PID15 areaDensityCounting-PID16 areaDensityCounting-PID17
1 0 0 12 0 10 6 0 0 10 0 10 0 6
2 0 0 12 0 10 6 0 0 10 0 10 0 6
3 2 6 14 3 14 8 4 0 14 4 14 2 9
4 4 6 14 6 13 9 5 1 13 6 14 3 9
5 6 8 11 9 10 11 8 1 10 7 13 5 11
6 7 10 11 9 8 13 8 0 11 8 11 7 11
7 8 12 9 7 10 14 8 1 11 9 9 9 11
8 9 13 10 7 9 13 11 1 9 8 9 9 11
9 9 11 11 7 10 13 10 1 9 8 9 8 12
10 10 11 11 8 9 12 11 1 8 8 9 8 12
11 9 12 10 8 9 13 11 1 8 9 8 8 12
12 9 12 10 8 9 12 11 1 9 9 8 8 12
13 9 11 10 8 9 12 10 1 8 9 8 8 12
14 9 11 11 8 9 12 10 1 8 9 8 8 12
15 10 11 11 8 9 11 10 1 9 9 7 8 12
16 10 10 11 8 9 12 11 0 10 9 6 8 12
17 10 10 11 8 9 12 9 1 11 9 6 8 12
18 10 10 10 8 9 12 9 1 11 9 6 8 12
19 10 10 10 8 9 12 9 1 11 9 6 8 12
20 10 10 10 8 9 12 9 1 11 9 6 8 12
21 10 10 10 8 9 12 9 1 11 9 6 8 12
22 10 10 10 8 10 12 10 0 10 9 6 8 12
23 10 10 10 8 10 12 10 0 10 9 6 8 12
24 10 9 11 9 9 12 10 0 10 9 6 8 12
25 10 10 10 9 9 13 9 1 10 9 6 8 12
26 10 10 10 9 9 13 9 0 11 9 6 8 12
27 11 9 11 9 9 13 9 0 11 9 6 8 12
28 11 10 11 9 9 12 9 0 11 9 6 8 12
29 10 11 11 9 9 12 9 0 11 9 6 8 12
30 9 11 10 9 9 12 9 0 11 9 7 8 11
31 9 10 11 9 9 13 9 0 11 9 7 8 11
32 10 10 11 9 9 13 9 0 11 9 7 8 11
33 10 10 11 9 9 13 9 0 11 9 7 7 12
34 10 10 11 9 9 13 9 0 11 9 7 7 12
35 10 10 11 9 9 13 9 0 11 9 7 7 12
36 9 11 11 9 9 13 9 0 11 9 7 8 11
37 9 11 11 9 9 13 9 0 11 9 7 8 11
38 10 11 11 9 9 12 9 0 11 9 7 7 12
39 11 11 10 9 9 11 9 0 11 8 8 7 12
40 11 11 10 9 9 11 9 0 11 8 8 7 12
41 10 12 10 9 9 11 9 0 11 8 8 7 12
42 10 12 11 9 9 11 9 0 11 8 8 7 12
43 11 11 11 9 9 11 8 0 11 9 8 7 12
44 10 10 12 9 9 12 9 0 10 9 8 7 12
45 10 10 13 9 9 11 9 0 10 9 8 7 12
46 10 10 12 9 9 12 9 0 10 9 8 7 12
47 10 11 11 9 9 12 9 0 10 9 8 7 12
48 11 11 11 9 9 11 9 0 10 10 7 7 12
49 11 11 11 9 9 11 9 0 10 9 8 7 12
50 11 11 11 9 9 11 9 0 10 9 8 7 12
51 11 11 11 9 9 11 9 0 11 10 6 7 12
52 11 11 11 9 9 11 9 0 11 10 6 7 12
53 11 11 11 9 9 11 9 0 11 9 7 7 12
54 11 11 11 8 10 11 9 0 11 9 7 7 12
55 11 11 11 8 10 11 9 0 11 9 7 7 12
56 11 11 11 8 10 11 9 1 10 9 7 7 12
57 10 11 11 8 10 12 9 1 10 9 7 7 12
58 10 11 11 8 10 12 9 1 10 9 7 7 12
59 10 11 11 8 10 12 9 1 10 9 7 7 12
60 10 12 11 8 10 11 10 1 9 9 7 7 12
61 10 12 11 8 10 11 10 1 9 9 7 7 12
62 9 11 11 9 9 13 10 1 9 9 7 7 12
63 10 11 11 9 9 12 10 1 9 9 7 7 12
64 10 11 11 9 9 12 10 1 9 9 7 7 12
65 10 12 10 9 9 12 10 1 9 9 7 7 12
66 9 12 10 8 10 13 10 1 9 9 7 7 12
67 9 12 11 8 10 12 10 1 9 9 7 7 12
68 9 11 11 8 10 12 10 1 9 9 7 7 12
69 9 11 11 8 10 12 10 1 9 9 7 7 12
70 9 11 11 8 10 12 10 1 9 9 7 7 12
71 9 12 10 8 10 12 10 1 9 10 6 7 12
72 9 13 10 8 10 12 10 1 9 10 6 7 12
73 9 13 10 8 10 12 10 1 9 10 6 7 12
74 9 13 10 8 10 12 10 1 9 10 6 7 12
75 9 13 10 8 10 12 10 1 9 10 6 7 12
76 9 13 10 8 10 12 10 1 9 10 6 7 12
77 9 13 10 8 10 12 10 1 9 10 6 7 12
78 9 12 11 8 10 12 10 1 9 10 6 7 12
79 9 13 10 8 10 12 10 1 9 10 6 7 12
80 9 12 11 8 10 12 10 1 9 10 6 7 12
81 9 12 11 8 10 12 10 1 9 10 6 7 12
82 9 12 11 8 10 12 10 1 9 10 6 7 12
83 9 13 10 8 10 12 10 1 9 10 6 7 12
84 9 12 11 8 10 12 10 1 9 10 6 7 12
85 9 12 11 8 10 12 10 1 9 10 6 7 12
86 9 12 11 8 10 12 10 1 9 10 6 7 12
87 9 12 11 8 10 12 10 1 9 10 6 7 12
88 9 12 11 8 10 12 10 1 9 10 6 7 12
89 9 12 11 8 10 12 10 1 9 10 6 7 12
90 9 12 11 8 10 12 10 1 9 10 6 7 12
91 9 12 11 8 10 12 10 1 9 10 6 7 12
92 9 12 11 8 10 12 10 1 9 10 6 7 12
93 9 12 11 8 10 12 10 1 9 10 6 7 12
94 9 12 11 8 10 12 11 1 8 10 6 7 12
95 10 11 11 8 10 12 11 1 8 10 6 7 12
96 10 11 11 8 10 12 11 1 8 10 6 7 12
97 10 11 11 8 10 12 11 1 8 10 6 7 12
98 10 11 11 8 10 12 10 1 9 10 6 7 12
99 10 11 11 8 10 12 10 1 9 10 6 7 12
100 10 11 11 8 10 12 10 1 9 10 6 7 12
101 10 11 11 8 10 12 10 1 9 10 6 7 12
102 10 11 11 8 10 12 10 1 9 10 6 7 12
103 10 11 11 8 10 12 10 1 9 10 6 7 12
104 10 11 11 8 10 12 10 1 9 10 6 7 12
105 10 11 11 8 10 12 10 1 9 10 6 7 12
106 10 11 11 8 10 12 10 1 9 10 6 7 12
107 10 11 11 8 10 12 10 1 9 10 6 7 12
108 10 11 11 8 10 12 10 1 9 10 6 7 12
109 10 11 11 8 10 12 10 1 9 10 6 7 12
110 10 11 11 8 10 12 10 1 9 10 6 7 12
111 10 11 11 8 10 12 10 1 9 10 6 7 12
112 10 11 11 8 10 12 10 1 9 10 6 7 12
113 10 11 11 8 10 12 10 1 9 10 6 7 12
114 10 11 11 8 10 12 10 1 9 10 6 7 12
115 10 11 11 8 10 12 10 1 9 10 6 7 12
116 10 11 11 8 10 12 10 1 9 10 6 7 12
117 10 11 11 8 10 12 10 1 9 10 6 7 12
118 10 11 11 8 10 12 10 1 10 10 6 7 12
119 10 11 11 8 10 12 10 1 10 10 6 7 12
120 10 11 11 8 10 12 10 1 10 10 6 7 12
121 10 11 11 8 10 12 10 1 10 10 6 7 12
122 10 11 11 8 10 12 9 1 11 10 6 7 12
123 10 11 11 8 10 12 9 1 11 10 6 7 12
124 10 11 11 8 10 12 9 1 11 10 6 7 12
125 10 11 11 8 10 12 9 1 11 10 6 7 12
126 10 11 11 8 10 12 9 1 11 10 6 7 12
