timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
11 80 102 0.19714025424162465 0.0028597457583753594
12 80 102 0.19904568721510268 9.543127848973265E-4
13 80 102 0.19904568721510268 9.543127848973265E-4
13 85 97 0.19757789868770004 0.0024221013122999735
14 80 102 0.19904568721510268 9.543127848973265E-4
14 85 97 0.19757789868770004 0.0024221013122999735
15 80 102 0.19904568721510268 9.543127848973265E-4
15 85 97 0.19757789868770004 0.0024221013122999735
16 80 102 0.19904568721510268 9.543127848973265E-4
16 85 97 0.19757789868770004 0.0024221013122999735
17 80 102 0.19904568721510268 9.543127848973265E-4
17 85 97 0.19757789868770004 0.0024221013122999735
17 106 120 0.1952371319023463 0.004762868097653722
18 80 102 0.19904568721510268 9.543127848973265E-4
18 85 97 0.19757789868770004 0.0024221013122999735
19 80 102 0.19904568721510268 9.543127848973265E-4
19 85 97 0.19757789868770004 0.0024221013122999735
20 50 95 0.19701218815885127 0.002987811841148741
20 80 102 0.19904568721510268 9.543127848973265E-4
20 85 97 0.19757789868770004 0.0024221013122999735
21 50 95 0.19701218815885127 0.002987811841148741
21 80 102 0.19904568721510268 9.543127848973265E-4
21 85 97 0.19757789868770004 0.0024221013122999735
22 50 95 0.19701218815885127 0.002987811841148741
22 80 102 0.19904568721510268 9.543127848973265E-4
22 85 97 0.19757789868770004 0.0024221013122999735
23 50 95 0.19701218815885127 0.002987811841148741
23 80 102 0.19904568721510268 9.543127848973265E-4
23 85 97 0.19757789868770004 0.0024221013122999735
24 50 95 0.19701218815885127 0.002987811841148741
24 60 65 0.1978794194058094 0.002120580594190624
24 80 102 0.19904568721510268 9.543127848973265E-4
24 85 97 0.19757789868770004 0.0024221013122999735
25 50 95 0.19701218815885127 0.002987811841148741
25 60 65 0.1978794194058094 0.002120580594190624
25 80 102 0.19904568721510268 9.543127848973265E-4
25 85 97 0.19757789868770004 0.0024221013122999735
26 50 95 0.19701218815885127 0.002987811841148741
26 60 65 0.1978794194058094 0.002120580594190624
26 80 102 0.19904568721510268 9.543127848973265E-4
26 85 97 0.19757789868770004 0.0024221013122999735
27 50 95 0.19701218815885127 0.002987811841148741
27 60 65 0.1978794194058094 0.002120580594190624
27 80 102 0.19904568721510268 9.543127848973265E-4
27 85 97 0.19757789868770004 0.0024221013122999735
28 50 95 0.19701218815885127 0.002987811841148741
28 60 65 0.1978794194058094 0.002120580594190624
28 80 102 0.19904568721510268 9.543127848973265E-4
28 85 97 0.19757789868770004 0.0024221013122999735
29 50 95 0.19701218815885127 0.002987811841148741
29 80 102 0.19904568721510268 9.543127848973265E-4
29 85 97 0.19757789868770004 0.0024221013122999735
30 50 95 0.19701218815885127 0.002987811841148741
30 80 102 0.19904568721510268 9.543127848973265E-4
30 85 97 0.19757789868770004 0.0024221013122999735
31 80 102 0.19904568721510268 9.543127848973265E-4
31 85 97 0.19757789868770004 0.0024221013122999735
32 80 102 0.19904568721510268 9.543127848973265E-4
32 85 97 0.19757789868770004 0.0024221013122999735
33 80 102 0.19904568721510268 9.543127848973265E-4
33 85 97 0.19757789868770004 0.0024221013122999735
34 80 102 0.19904568721510268 9.543127848973265E-4
34 85 97 0.19757789868770004 0.0024221013122999735
35 80 102 0.19904568721510268 9.543127848973265E-4
35 85 97 0.19757789868770004 0.0024221013122999735
36 80 102 0.19904568721510268 9.543127848973265E-4
36 85 97 0.19757789868770004 0.0024221013122999735
37 80 102 0.19904568721510268 9.543127848973265E-4
37 85 97 0.19757789868770004 0.0024221013122999735
38 80 102 0.19904568721510268 9.543127848973265E-4
38 85 97 0.19757789868770004 0.0024221013122999735
