timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13 areaDensityCounting-PID14 areaDensityCounting-PID15 areaDensityCounting-PID16 areaDensityCounting-PID17
1 0 0 12 0 10 6 0 0 10 0 10 0 6
2 0 0 12 0 10 6 0 0 10 0 10 0 6
3 3 6 14 4 14 7 4 0 14 4 15 3 9
4 4 7 13 6 13 9 5 1 13 6 14 4 8
5 6 9 10 7 12 12 7 1 13 9 9 5 11
6 9 10 10 9 9 12 8 0 13 10 7 6 12
7 11 8 12 7 10 13 9 1 11 9 8 8 12
8 12 8 12 7 10 12 9 1 11 9 8 7 13
9 12 10 10 9 9 12 10 0 11 9 7 7 13
10 10 10 10 8 8 14 10 0 11 8 8 7 13
11 10 10 10 8 8 14 10 1 10 8 8 7 13
12 10 10 10 8 8 14 11 1 9 9 7 7 13
13 12 9 11 7 9 13 11 1 10 9 6 7 13
14 12 11 9 8 10 13 11 0 10 9 6 7 13
15 12 11 9 8 10 13 11 0 10 9 6 7 13
16 11 12 9 8 10 13 11 0 10 9 6 7 13
