#IDXCOL=1,DATACOL=6,SEP=' '
timeStep areaDensityCounting-PID5 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11
1 0 0 3 0 5 2
2 0 0 3 0 5 2
3 0 0 3 0 5 2
4 0 0 3 1 4 2
5 0 2 2 1 3 2
6 0 3 1 2 2 2
7 0 2 1 2 2 2
8 0 2 1 2 2 2
9 0 2 1 2 1 3
10 1 2 1 2 1 2
11 1 2 1 2 1 2
12 1 2 1 2 1 2
13 1 2 1 2 1 2
14 1 2 1 2 1 2
15 1 2 1 2 1 2
16 1 2 1 2 1 2
17 1 2 1 2 1 2
18 1 2 1 2 1 2
19 1 2 1 2 1 2
20 1 2 1 2 1 2
21 1 2 1 2 1 2
22 1 2 1 2 1 2
23 1 2 1 2 1 2
24 1 3 1 2 1 2
25 2 2 1 2 1 2
26 2 2 1 2 1 2
27 2 2 1 2 1 2
28 2 2 1 2 1 2
29 2 2 1 2 1 2
30 2 2 1 2 1 2
31 2 2 1 2 1 2
32 2 2 1 2 1 2
33 2 2 1 2 1 2
34 2 2 1 2 1 2
35 2 2 1 2 1 2
36 2 2 1 2 1 2
37 2 2 1 2 1 2
38 2 2 1 2 1 2
39 2 2 1 2 1 2
40 2 2 1 2 1 2
41 2 2 1 2 1 2
42 2 2 1 2 1 2
43 2 2 1 2 1 2
44 2 2 1 2 1 2
45 2 2 1 2 1 2
46 2 2 1 2 1 2
47 2 2 1 2 1 2
48 2 2 1 2 1 2
49 2 2 1 2 1 2
50 2 2 1 2 1 2
51 2 2 1 2 1 2
52 2 2 1 2 1 2
53 2 2 1 2 1 2
54 2 2 1 2 1 2
55 2 2 1 2 1 2
56 2 2 1 2 1 2
57 2 2 1 2 1 2
58 2 2 1 2 1 2
59 2 2 1 2 1 2
60 2 2 1 2 1 2
61 2 2 1 2 1 2
62 2 2 1 2 1 2
63 2 2 1 2 1 2
64 2 2 1 2 1 2
65 2 2 1 2 1 2
66 2 2 1 2 1 2
67 2 2 1 2 1 2
68 2 2 1 2 1 2
69 2 2 1 2 1 2
70 2 2 1 2 1 2
71 2 2 1 2 1 2
72 2 2 1 2 1 2
73 2 2 1 2 1 2
74 2 2 1 2 1 2
75 2 2 1 2 1 2
76 2 2 1 2 1 2
