timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
3 42 43 0.1988717857483537 0.0011282142516463034
4 31 38 0.19939115500702642 6.088449929735895E-4
5 31 38 0.19939115500702642 6.088449929735895E-4
