#IDXCOL=1,DATACOL=6,SEP=' '
timeStep areaDensityCounting-PID5 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11
1 0 0 12 0 10 6
2 0 0 12 0 10 6
3 1 3 17 5 13 9
4 3 3 15 7 13 11
5 5 7 11 9 10 12
6 6 8 11 11 6 15
7 8 8 12 11 6 15
8 7 10 11 11 5 15
9 8 9 12 9 7 15
10 8 10 12 8 7 15
11 9 12 8 9 6 16
12 8 10 9 8 8 16
13 8 11 10 7 7 16
14 9 10 10 7 7 15
15 9 10 12 8 6 15
16 9 10 12 8 6 15
17 10 10 10 9 6 15
18 11 9 10 8 6 15
19 11 9 10 9 5 15
20 11 8 11 9 5 16
21 9 10 9 9 4 16
22 9 9 11 9 5 17
23 9 9 11 10 4 17
24 10 9 10 9 6 16
25 10 10 9 9 6 16
26 10 8 10 10 6 16
27 10 9 9 9 6 16
28 11 8 10 11 5 15
29 11 8 10 9 7 15
30 11 8 9 9 7 15
31 12 6 9 10 7 16
32 11 7 8 10 7 17
33 12 7 9 9 8 15
34 12 8 8 11 6 14
35 9 6 10 9 8 16
36 10 7 11 10 7 15
37 10 8 10 10 7 14
38 10 7 10 9 8 15
39 12 7 10 9 8 13
40 12 7 10 10 8 13
41 10 9 9 11 7 14
42 10 9 9 10 8 14
43 11 9 9 10 8 13
44 11 8 10 9 9 13
45 12 7 9 11 8 13
46 11 8 8 11 8 14
47 11 7 9 12 7 14
48 10 7 10 11 7 15
49 12 9 8 10 9 12
50 12 7 10 11 8 12
51 10 6 10 11 9 14
52 10 8 8 11 9 14
53 10 8 8 12 8 14
54 9 8 10 10 9 14
55 9 8 9 10 10 14
56 9 9 8 10 10 14
57 9 9 8 10 10 14
58 8 9 8 9 11 15
59 8 10 6 11 8 15
60 9 8 8 9 11 14
61 8 8 9 10 10 14
62 8 8 9 10 10 14
63 8 7 10 10 10 14
64 7 8 9 10 10 15
65 7 8 9 10 11 15
66 10 8 9 9 11 13
67 10 8 10 9 11 12
68 8 8 11 9 11 13
69 9 9 10 9 11 12
70 9 10 8 9 12 12
71 8 10 9 10 10 13
72 9 11 9 9 10 12
73 8 10 9 8 12 13
74 8 10 9 10 10 13
75 8 10 9 10 10 13
76 8 11 8 10 10 13
77 7 10 9 10 10 14
78 8 11 7 11 10 13
79 8 13 6 11 9 13
80 8 13 7 10 10 12
81 8 14 6 10 9 12
82 10 11 8 11 8 11
83 10 12 7 11 8 11
84 10 13 6 10 10 11
85 10 12 7 10 10 11
86 9 12 7 9 11 12
87 8 12 7 10 10 13
88 8 10 8 10 11 13
89 8 11 7 10 11 13
90 9 13 5 9 12 12
91 9 14 5 8 12 12
92 7 14 5 9 11 14
93 9 12 7 9 11 12
94 9 12 7 10 10 12
95 9 12 7 10 9 12
96 9 13 7 10 8 12
97 9 13 6 10 9 11
98 9 13 7 9 10 12
99 10 13 7 9 10 11
100 9 12 8 8 10 12
101 9 10 8 9 9 13
102 9 10 8 9 9 13
103 9 11 8 9 9 13
104 8 11 8 9 9 14
105 8 12 8 8 11 12
106 9 13 7 8 11 11
107 8 13 7 7 12 13
108 8 13 8 10 9 12
109 11 13 7 10 9 10
110 10 13 7 10 9 11
111 10 12 9 10 8 11
112 9 13 7 9 9 13
113 8 14 7 9 9 13
114 10 12 8 9 9 12
115 11 12 8 8 10 11
116 11 11 9 8 10 11
117 11 10 10 8 10 11
118 10 11 8 9 10 12
119 11 11 7 8 11 11
120 10 8 9 10 10 12
121 11 10 8 10 9 11
122 11 10 8 8 11 11
123 11 9 9 8 11 11
124 11 10 9 8 11 11
125 11 10 9 8 11 11
126 11 10 8 8 11 11
127 11 10 8 7 12 11
128 11 10 7 8 11 11
129 12 11 7 8 11 9
130 12 12 8 9 10 8
131 11 10 10 9 10 9
132 10 10 8 12 8 10
133 10 10 9 11 9 10
134 11 11 9 12 8 9
135 10 12 7 12 9 10
136 11 12 8 12 8 9
137 11 13 7 13 7 9
138 11 12 9 13 6 9
139 10 12 9 13 6 10
140 11 12 9 13 6 9
141 12 11 10 12 7 8
142 11 11 10 12 7 9
143 11 10 10 13 7 9
144 11 13 8 11 8 9
145 12 13 8 11 8 8
146 12 13 9 11 7 8
147 13 12 10 10 8 7
148 13 12 10 10 8 7
149 13 12 10 10 9 6
150 13 12 11 11 7 6
151 12 13 9 11 8 7
152 12 13 8 10 9 8
153 13 13 7 10 9 8
154 13 13 7 10 9 8
155 13 13 7 11 8 8
156 13 14 6 11 8 8
157 14 14 7 10 8 7
158 14 13 7 10 8 7
159 14 12 8 10 8 7
160 13 13 8 10 8 8
161 14 14 7 10 9 6
162 13 13 8 11 8 7
163 12 13 8 11 8 8
164 12 14 8 11 7 8
165 13 14 8 11 7 7
166 12 15 8 11 7 7
167 13 14 9 11 7 6
168 12 15 7 11 7 7
169 11 15 6 10 8 9
170 11 14 9 10 8 8
171 10 14 9 10 8 9
172 11 13 10 10 8 8
173 11 13 9 10 9 8
174 11 14 9 10 9 7
175 11 14 8 11 7 8
176 11 14 9 10 8 8
177 11 14 10 9 9 7
178 11 16 8 9 9 7
179 10 16 7 10 8 9
180 10 15 8 11 7 9
181 11 15 9 11 7 7
