#IDXCOL=1,DATACOL=6,SEP=' '
timeStep areaDensityCounting-PID5 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11
1 0 0 12 0 10 6
2 0 0 12 0 10 6
3 2 5 15 5 12 10
4 3 5 14 6 14 10
5 3 8 12 7 11 16
6 6 8 12 9 8 15
7 6 7 12 11 6 17
8 9 7 13 11 6 14
9 9 8 14 9 6 14
10 9 8 13 9 5 15
11 11 9 12 9 5 13
12 10 8 13 9 6 14
13 10 9 13 8 6 14
14 6 10 13 8 6 17
15 10 9 10 8 7 15
16 10 10 10 9 5 15
17 10 10 10 8 6 16
18 11 9 11 8 6 15
19 10 8 12 9 5 16
20 12 8 11 9 5 14
21 10 9 10 9 6 16
22 11 8 10 9 6 13
23 10 9 9 9 6 14
24 10 8 10 8 7 15
25 10 8 11 9 6 15
26 12 7 11 9 6 14
27 12 7 11 9 7 14
28 10 8 10 9 7 16
29 9 9 9 10 6 16
30 9 9 10 8 8 16
31 9 9 10 8 8 16
32 10 9 10 8 8 15
33 10 8 10 9 7 14
34 10 8 10 8 8 15
35 9 7 12 10 6 16
36 10 7 11 11 6 15
37 10 7 11 11 6 15
38 10 8 10 11 6 15
39 10 8 10 11 6 15
40 10 8 10 11 6 15
41 10 10 8 12 5 15
42 9 9 9 10 7 16
43 9 10 9 10 7 15
44 9 10 8 10 8 15
45 10 9 9 11 7 14
46 9 9 10 11 7 14
47 10 9 9 11 7 13
48 10 11 7 11 7 13
49 10 11 7 10 8 13
50 10 10 7 11 7 13
51 10 8 10 11 7 13
52 10 8 10 11 7 13
53 10 9 8 10 8 13
54 9 8 9 11 8 14
55 10 8 10 12 7 13
56 10 9 8 13 7 13
57 9 10 8 13 7 13
58 9 11 9 12 7 12
59 9 10 10 12 7 12
60 9 10 9 11 8 12
61 9 11 8 11 9 12
62 9 9 10 11 9 12
63 9 10 9 10 10 12
64 9 8 10 10 11 12
65 9 8 10 11 10 12
66 9 9 8 13 9 12
67 9 8 9 13 9 12
68 9 8 8 13 9 13
69 9 7 10 12 10 12
70 9 6 10 12 10 12
71 9 6 9 12 11 12
72 10 7 8 13 10 12
73 10 7 7 13 11 12
74 11 7 9 12 11 10
75 10 8 8 13 10 11
76 10 9 6 12 12 11
77 10 7 8 12 12 11
78 10 7 9 13 11 10
79 9 9 7 13 11 10
80 9 7 8 13 11 12
81 9 7 9 14 10 11
82 9 7 9 15 9 11
83 9 7 8 15 9 11
84 9 7 8 14 10 11
85 9 7 8 14 10 11
86 9 7 8 14 10 11
87 9 6 8 15 11 11
88 10 7 7 15 11 10
89 10 7 7 14 12 10
90 10 8 6 12 14 10
91 10 8 7 11 14 10
92 10 7 8 12 13 10
93 9 7 7 14 12 11
94 9 8 6 12 14 11
95 8 10 5 11 14 12
96 9 9 5 12 14 11
97 9 8 6 13 13 11
98 10 8 6 13 13 10
99 10 8 6 13 13 10
100 9 8 6 16 10 11
101 9 8 6 15 11 11
102 9 8 6 14 12 11
103 11 7 6 13 14 9
104 11 7 6 14 13 9
105 11 8 6 13 13 9
106 9 8 6 12 14 11
107 8 9 5 13 13 12
108 8 10 5 12 13 12
109 9 10 6 12 12 11
110 8 10 6 13 11 12
111 8 9 6 11 14 12
112 7 9 6 10 14 13
113 9 10 6 10 14 11
114 9 9 6 11 13 12
115 9 9 7 11 12 12
116 9 8 8 12 11 12
117 10 8 8 11 12 11
118 10 9 7 9 13 12
119 11 10 4 10 12 12
120 10 10 5 9 12 13
121 10 8 9 11 10 12
122 10 9 6 11 10 13
123 10 9 5 11 10 13
124 11 10 4 12 10 13
125 11 9 5 11 11 13
126 12 8 5 12 10 13
127 12 8 6 12 9 13
128 13 7 7 11 10 12
129 12 7 7 11 10 13
130 11 8 8 11 8 14
131 11 7 7 11 9 15
132 12 7 7 12 8 14
133 12 7 7 11 9 14
134 12 7 5 11 10 14
135 13 8 6 10 9 14
136 13 8 5 10 10 14
137 13 7 6 10 9 14
138 13 7 7 9 10 14
139 13 7 7 9 10 14
140 13 6 7 10 10 14
141 12 7 6 10 10 15
142 14 7 6 11 9 13
143 14 7 6 10 10 13
144 13 7 5 9 11 14
145 11 7 6 9 10 17
146 11 7 7 9 9 17
147 12 8 5 9 10 16
148 10 9 5 9 9 18
149 10 8 5 9 9 18
150 11 7 6 11 8 17
151 12 8 5 12 7 16
152 11 8 5 12 7 17
153 11 7 5 12 8 16
154 11 8 5 12 7 16
155 12 8 6 11 7 15
156 13 7 7 11 7 15
157 12 8 7 11 7 15
158 12 8 8 10 8 14
159 13 8 7 9 10 13
160 13 8 7 10 9 13
161 11 10 6 11 8 14
162 11 10 4 11 8 15
163 12 10 4 10 9 13
164 14 10 4 10 8 12
165 13 9 6 12 5 13
166 14 9 7 10 6 12
167 14 9 7 12 6 12
168 13 10 7 11 6 13
169 13 10 8 9 7 13
170 13 11 6 9 8 13
171 12 11 7 9 7 14
172 15 11 7 10 6 10
173 15 11 7 10 6 10
174 14 10 8 10 6 12
175 14 10 7 10 7 12
176 14 10 7 10 7 12
177 13 10 6 10 7 14
178 13 10 6 10 7 14
179 13 9 8 10 6 14
180 13 9 8 9 7 14
181 13 10 7 9 7 14
