#IDXCOL=1,DATACOL=6,SEP=' '
timeStep areaDensityCounting-PID5 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11
221 10 18 10 9 7 5
222 10 17 11 10 6 5
223 10 18 11 10 6 5
224 10 18 10 11 5 6
225 9 18 10 11 5 7
226 9 18 10 10 6 7
227 11 18 10 10 6 5
228 11 19 10 10 5 5
229 11 18 10 10 6 5
230 11 18 9 11 6 5
231 11 16 12 9 7 5
232 11 17 11 9 7 5
233 12 18 10 9 7 4
234 11 18 9 10 6 5
235 10 18 9 10 6 6
236 10 18 8 10 7 7
237 11 17 9 10 7 6
238 11 17 9 10 7 6
239 11 17 9 10 7 6
240 11 17 9 10 7 6
241 11 17 9 10 7 6
242 11 18 8 10 6 6
243 11 17 9 10 6 6
244 11 16 9 10 6 6
245 11 17 9 10 6 6
246 11 15 10 10 7 6
247 11 16 9 10 7 6
248 12 16 9 10 7 5
249 11 15 11 10 6 6
250 11 15 9 10 7 7
251 10 15 9 10 7 8
