#IDXCOL=1,DATACOL=6,SEP=' '
timeStep areaDensityCounting-PID5 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11
1 0 0 12 0 10 6
2 0 0 12 0 10 6
3 1 3 16 4 14 9
4 2 4 15 7 13 11
5 4 8 11 8 11 14
6 7 8 12 9 9 13
7 7 9 11 8 9 16
8 7 9 10 9 8 17
9 7 9 10 10 7 17
10 7 9 9 10 7 18
11 7 9 9 10 7 18
12 8 9 9 9 7 17
13 10 9 9 8 8 15
14 11 9 9 8 7 14
15 11 7 10 8 7 14
16 12 8 10 8 7 14
17 12 8 10 8 7 14
18 11 8 10 9 6 15
19 12 8 10 7 8 14
20 12 8 10 8 7 14
21 11 8 10 9 6 15
22 11 9 10 8 7 14
23 13 7 11 8 7 13
24 13 8 11 8 7 13
25 12 7 11 7 8 15
26 12 8 11 7 8 13
27 11 8 12 8 7 14
28 11 9 11 8 7 14
29 10 9 11 6 9 15
30 11 10 10 8 7 14
31 11 11 10 7 7 14
32 11 10 11 8 6 14
33 12 8 11 8 7 13
34 11 9 10 10 6 14
35 11 8 11 9 7 14
36 10 9 10 11 5 15
37 9 9 11 11 5 14
38 10 7 11 11 6 14
39 10 7 11 10 7 14
40 10 8 10 9 7 14
41 10 7 13 8 8 13
42 10 9 10 9 8 13
43 11 9 10 10 7 13
44 9 10 9 8 9 14
45 9 10 10 9 8 14
46 9 10 10 9 8 14
47 9 10 10 9 8 14
48 9 11 8 9 8 15
49 7 8 10 10 8 16
50 8 9 9 10 8 15
51 9 8 10 10 8 14
52 8 8 10 10 8 15
53 8 9 10 11 7 15
54 8 9 11 10 7 15
55 8 7 11 12 7 15
56 9 9 10 9 9 14
57 9 8 10 10 9 14
58 9 8 10 8 11 14
59 9 8 9 9 10 13
60 9 6 10 10 10 13
61 9 8 8 9 11 13
62 9 7 9 8 12 13
63 9 7 10 8 11 12
64 9 8 9 10 10 12
65 10 8 8 11 10 12
66 9 9 7 12 9 13
67 9 10 7 11 9 13
68 9 11 8 10 10 12
69 9 12 7 8 12 12
70 10 11 9 8 11 11
71 9 10 9 8 12 12
72 9 9 9 8 12 12
73 9 9 9 9 11 12
74 9 10 9 7 12 12
75 10 9 10 8 12 11
76 10 9 10 7 13 11
77 10 10 9 8 12 11
78 10 11 7 8 13 11
79 10 9 8 9 13 11
80 9 9 8 9 13 12
81 9 10 7 9 13 12
82 9 10 8 7 14 12
83 10 9 9 6 16 10
84 9 9 10 7 14 11
85 8 9 8 8 15 12
86 9 7 7 7 16 12
87 9 8 7 10 12 12
88 9 9 6 10 13 12
89 11 9 5 9 13 10
90 11 7 8 7 15 10
91 10 9 6 8 15 11
92 11 9 5 8 16 10
93 12 9 4 8 16 10
94 11 9 5 8 15 11
95 9 8 7 8 15 13
96 10 9 7 7 15 12
97 10 10 7 7 14 12
98 11 8 7 8 14 12
99 11 8 6 8 15 12
100 11 8 7 9 13 12
101 10 9 7 9 13 12
102 10 9 7 9 13 12
103 10 10 7 9 13 11
104 10 8 9 9 13 11
105 11 9 7 9 14 10
106 10 10 7 10 12 11
107 8 9 7 10 13 13
108 9 8 8 11 12 12
109 10 7 8 12 12 11
110 9 7 7 12 12 13
111 8 10 7 9 12 14
112 9 10 6 10 12 13
113 9 10 7 10 11 13
114 10 10 6 11 11 12
115 10 9 8 11 10 11
116 11 11 6 12 9 10
117 9 11 7 9 12 12
118 9 10 6 11 11 12
119 10 10 7 10 11 10
120 10 10 6 11 10 11
121 11 10 6 11 10 11
122 9 9 6 13 9 11
123 9 9 7 12 10 11
124 10 10 6 13 9 11
125 10 10 6 12 10 12
126 9 10 5 11 11 11
127 9 9 6 12 11 11
128 8 11 6 11 11 11
129 6 11 7 11 11 13
130 6 11 7 10 12 13
131 6 10 8 10 12 13
132 6 10 9 11 11 12
133 7 12 7 11 11 11
134 7 11 9 10 11 11
135 8 11 9 11 10 10
136 8 10 9 11 11 10
137 7 10 11 10 10 11
138 8 10 12 10 9 10
139 9 11 11 11 8 9
140 8 11 11 11 8 10
141 6 12 9 11 9 12
142 6 11 10 11 9 12
143 6 13 8 11 9 12
144 6 13 9 11 9 11
145 6 14 8 12 8 11
146 6 14 9 12 7 11
147 6 14 9 13 6 11
148 6 13 10 13 6 11
149 7 14 11 12 5 10
150 7 14 11 12 5 10
151 7 13 12 12 5 10
152 6 14 11 11 7 10
153 6 15 10 11 7 10
154 6 15 11 10 7 10
155 6 16 10 10 7 10
156 6 16 10 12 5 10
157 6 16 11 12 4 10
158 6 16 11 11 5 10
159 6 15 12 11 5 10
160 6 14 12 12 5 10
161 6 14 12 11 6 10
162 6 14 12 11 5 10
163 6 14 12 10 6 10
164 6 16 10 10 6 10
165 6 15 12 11 4 10
166 6 15 12 12 4 10
167 7 15 11 12 3 11
168 6 15 12 11 4 11
169 8 14 13 11 4 9
170 8 14 13 10 5 9
171 9 15 11 11 4 9
172 8 16 10 11 4 10
173 9 14 10 11 5 10
174 9 14 10 11 5 10
175 8 14 10 11 5 11
176 8 15 9 11 5 11
177 9 13 9 11 6 11
178 10 13 10 11 5 10
179 10 13 10 11 5 10
180 10 13 10 11 5 10
181 11 12 10 11 5 10
