#IDXCOL=1,DATACOL=6,SEP=' '
timeStep areaDensityCounting-PID5 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11
1 0 0 12 0 10 6
2 0 0 12 0 10 6
3 3 4 16 5 11 9
4 3 7 12 6 13 10
5 3 7 12 8 10 12
6 6 8 12 10 7 14
7 7 8 12 10 7 16
8 9 7 12 10 8 14
9 8 8 12 9 8 15
10 9 8 11 9 8 15
11 10 8 11 10 7 14
12 10 10 11 8 7 14
13 10 9 12 10 4 14
14 10 8 12 10 5 15
15 11 8 12 9 6 14
16 10 8 11 9 6 16
17 10 7 11 9 6 16
18 9 8 11 8 7 17
19 9 7 11 10 6 17
20 10 7 12 9 7 15
21 11 8 12 9 6 14
22 10 7 13 8 7 15
23 10 7 12 9 6 16
24 10 7 11 9 6 16
25 11 8 12 7 7 15
26 11 7 14 6 8 14
27 10 8 12 6 8 15
28 11 7 13 7 8 14
29 10 8 12 7 8 15
30 10 8 11 7 8 15
31 10 8 11 9 7 15
32 10 8 11 8 8 15
33 10 8 10 9 8 15
34 10 9 8 9 8 16
35 10 7 10 10 7 16
36 10 8 10 9 8 15
37 9 8 10 9 8 16
38 9 8 9 10 7 17
39 9 6 10 11 7 17
40 9 6 11 10 8 16
41 10 8 9 10 8 15
42 9 8 9 8 10 16
43 9 7 10 8 10 16
44 9 7 10 9 9 16
45 10 8 8 11 7 16
46 9 7 9 10 8 17
47 10 6 10 11 7 16
48 10 6 10 12 6 16
49 10 7 9 12 6 16
50 10 6 10 11 7 16
51 10 6 10 10 9 15
52 11 6 10 9 9 13
53 10 6 10 10 8 14
54 9 5 11 11 8 15
55 11 6 9 11 9 14
56 9 6 9 11 9 16
57 10 5 10 11 9 15
58 11 7 9 12 8 13
59 11 7 9 12 8 13
60 12 9 7 13 7 11
61 10 9 7 13 7 13
62 10 9 7 13 7 14
63 10 9 7 13 7 14
64 10 9 8 13 7 13
65 9 8 9 13 7 14
66 9 8 9 13 7 14
67 9 8 9 13 7 14
68 8 7 9 13 7 15
69 7 8 9 13 7 15
70 9 8 9 12 8 13
71 8 7 10 12 8 14
72 8 7 10 12 8 14
73 7 6 11 13 7 14
74 8 8 8 14 8 13
75 8 8 9 13 9 13
76 9 8 9 13 9 12
77 8 8 9 13 9 13
78 8 8 10 12 9 13
79 8 9 9 12 9 13
80 8 8 9 13 8 13
81 10 7 11 13 8 11
82 10 6 11 12 10 11
83 9 6 10 13 9 12
84 9 5 11 13 9 12
85 8 8 10 13 8 13
86 5 8 11 14 6 14
87 7 9 11 12 8 12
88 8 8 12 14 6 12
89 6 9 12 13 7 13
90 7 8 13 12 7 12
91 7 10 11 12 7 12
92 7 9 12 12 7 12
93 7 8 12 12 7 12
94 7 9 11 11 8 12
95 7 10 10 11 8 11
96 9 10 10 12 7 10
97 9 9 11 11 8 10
98 9 9 11 11 8 10
99 8 11 9 10 9 12
100 7 10 10 11 7 13
101 7 11 9 9 9 13
102 8 13 9 8 8 12
103 7 9 11 8 9 14
104 7 10 11 8 9 14
105 8 10 10 7 9 13
106 8 12 9 7 10 12
107 8 13 9 7 10 12
108 8 12 11 7 10 11
109 9 11 12 6 11 10
110 10 12 10 7 9 10
111 10 12 9 7 9 11
112 10 13 9 6 10 11
113 8 13 9 6 10 13
114 8 13 9 6 10 12
115 8 15 8 5 10 12
116 9 13 10 6 8 12
117 9 12 11 7 8 12
118 10 13 10 7 7 12
119 9 13 10 7 7 13
120 9 13 10 6 8 13
121 10 12 10 6 8 12
122 10 14 9 7 7 11
123 11 12 10 7 9 10
124 9 11 10 9 7 12
125 10 13 7 9 7 12
126 13 12 8 9 7 10
127 11 12 8 8 8 12
128 12 13 7 9 7 11
129 13 12 7 9 7 11
130 13 12 6 9 8 11
131 13 12 6 9 8 11
132 13 13 7 10 6 10
133 13 13 6 10 6 11
134 13 13 6 10 6 11
135 13 13 5 10 6 10
136 13 13 5 10 6 10
137 13 13 5 10 6 10
138 12 13 6 9 7 10
139 12 14 6 9 6 9
140 11 14 7 8 7 11
141 12 15 6 7 8 10
142 13 14 8 6 9 9
143 13 15 8 6 9 8
144 12 16 8 7 7 9
145 13 15 9 7 7 8
146 12 15 9 7 7 9
147 11 15 10 6 8 9
148 11 15 10 6 8 9
149 10 15 9 5 10 10
150 10 15 9 5 10 10
151 11 15 9 6 9 9
152 9 15 10 6 9 10
153 10 15 11 6 8 9
154 10 15 10 7 7 9
155 10 15 9 7 8 9
156 11 15 10 7 8 7
157 9 14 12 7 8 8
158 9 15 11 8 7 8
159 9 14 12 8 7 8
160 9 14 13 8 7 8
161 9 13 13 8 7 9
162 9 15 11 8 7 9
163 9 17 9 8 7 9
164 9 17 9 8 7 9
165 8 16 11 8 7 9
166 8 16 10 8 8 9
167 9 15 11 8 8 8
168 10 15 11 9 7 7
169 11 15 9 9 8 7
170 10 15 10 8 8 7
171 9 15 10 8 8 8
172 9 15 8 8 10 8
173 7 16 8 8 10 9
174 8 16 8 9 9 8
175 8 16 8 9 9 7
176 7 17 7 8 9 8
177 7 17 8 7 10 9
178 8 17 8 7 10 8
179 8 17 8 7 10 8
180 7 18 8 7 10 9
181 7 18 8 7 10 9
