#IDXCOL=1,DATACOL=1,SEP=' '
pedestrianId trajectory-PID6
1 [{"footSteps":[{"startTime":0.0,"endTime":0.6206943297753101,"start":{"x":2.229257887517147,"y":0.7180096021947873},"end":{"x":1.5931571053182387,"y":1.061508965624641}},{"startTime":0.6206943297753101,"endTime":1.2413886595506203,"start":{"x":1.5931571053182387,"y":1.061508965624641},"end":{"x":0.8919560382112153,"y":0.875686369004025}},{"startTime":1.2413886595506203,"endTime":1.8620829893259305,"start":{"x":0.8919560382112153,"y":0.875686369004025},"end":{"x":0.7984621472458578,"y":0.7729188659404995}},{"startTime":1.8620829893259305,"endTime":2.4827773191012406,"start":{"x":0.7984621472458578,"y":0.7729188659404995},"end":{"x":0.7984621472458578,"y":0.7729188659404995}},{"startTime":2.4827773191012406,"endTime":3.1034716488765506,"start":{"x":0.7984621472458578,"y":0.7729188659404995},"end":{"x":0.7984621472458578,"y":0.7729188659404995}},{"startTime":3.1034716488765506,"endTime":3.7241659786518606,"start":{"x":0.7984621472458578,"y":0.7729188659404995},"end":{"x":1.1615105267091288,"y":1.1359672454037706}},{"startTime":3.7241659786518606,"endTime":4.344860308427171,"start":{"x":1.1615105267091288,"y":1.1359672454037706},"end":{"x":1.5242773332194905,"y":1.121671444440516}},{"startTime":4.344860308427171,"endTime":4.965554638202481,"start":{"x":1.5242773332194905,"y":1.121671444440516},"end":{"x":1.5242773332194905,"y":1.121671444440516}},{"startTime":4.965554638202481,"endTime":5.586248967977792,"start":{"x":1.5242773332194905,"y":1.121671444440516},"end":{"x":1.5242773332194905,"y":1.121671444440516}},{"startTime":5.586248967977792,"endTime":6.206943297753102,"start":{"x":1.5242773332194905,"y":1.121671444440516},"end":{"x":1.5242773332194905,"y":1.121671444440516}}]}]
2 [{"footSteps":[{"startTime":0.0,"endTime":0.5271370458246154,"start":{"x":2.431257887517147,"y":0.7180096021947873},"end":{"x":1.9732044040952967,"y":1.3201269227635977}},{"startTime":0.5271370458246154,"endTime":1.0542740916492308,"start":{"x":1.9732044040952967,"y":1.3201269227635977},"end":{"x":1.27452846586416,"y":1.6167854110113056}},{"startTime":1.0542740916492308,"endTime":1.5814111374738462,"start":{"x":1.27452846586416,"y":1.6167854110113056},"end":{"x":1.1330817863192257,"y":2.0646410221699556}},{"startTime":1.5814111374738462,"endTime":2.1085481832984616,"start":{"x":1.1330817863192257,"y":2.0646410221699556},"end":{"x":1.109361526870538,"y":2.3255638761055213}},{"startTime":2.1085481832984616,"endTime":2.635685229123077,"start":{"x":1.109361526870538,"y":2.3255638761055213},"end":{"x":0.8874841635238322,"y":2.274568264914008}},{"startTime":2.635685229123077,"endTime":3.1628222749476924,"start":{"x":0.8874841635238322,"y":2.274568264914008},"end":{"x":0.9408547472833796,"y":2.446540145916994}},{"startTime":3.1628222749476924,"endTime":3.689959320772308,"start":{"x":0.9408547472833796,"y":2.446540145916994},"end":{"x":0.9838100439111722,"y":2.670113308926557}},{"startTime":3.689959320772308,"endTime":4.217096366596923,"start":{"x":0.9838100439111722,"y":2.670113308926557},"end":{"x":0.9838100439111722,"y":2.670113308926557}},{"startTime":4.217096366596923,"endTime":4.744233412421538,"start":{"x":0.9838100439111722,"y":2.670113308926557},"end":{"x":0.9838100439111722,"y":2.670113308926557}},{"startTime":4.744233412421538,"endTime":5.271370458246153,"start":{"x":0.9838100439111722,"y":2.670113308926557},"end":{"x":0.9838100439111722,"y":2.670113308926557}},{"startTime":5.271370458246153,"endTime":5.798507504070768,"start":{"x":0.9838100439111722,"y":2.670113308926557},"end":{"x":0.9838100439111722,"y":2.670113308926557}},{"startTime":5.798507504070768,"endTime":6.325644549895383,"start":{"x":0.9838100439111722,"y":2.670113308926557},"end":{"x":0.9838100439111722,"y":2.670113308926557}}]}]
3 [{"footSteps":[{"startTime":0.0,"endTime":0.5783305996007337,"start":{"x":2.633257887517147,"y":0.7180096021947873},"end":{"x":2.633257887517147,"y":1.4430486674014196}},{"startTime":0.5783305996007337,"endTime":1.1566611992014675,"start":{"x":2.633257887517147,"y":1.4430486674014196},"end":{"x":2.3033188408365532,"y":2.0886661017626738}},{"startTime":1.1566611992014675,"endTime":1.7349917988022012,"start":{"x":2.3033188408365532,"y":2.0886661017626738},"end":{"x":2.0417592440654957,"y":2.5544724759635393}},{"startTime":1.7349917988022012,"endTime":2.313322398402935,"start":{"x":2.0417592440654957,"y":2.5544724759635393},"end":{"x":2.0417592440654957,"y":2.5544724759635393}},{"startTime":2.313322398402935,"endTime":2.8916529980036687,"start":{"x":2.0417592440654957,"y":2.5544724759635393},"end":{"x":2.0417592440654957,"y":2.5544724759635393}},{"startTime":2.8916529980036687,"endTime":3.4699835976044024,"start":{"x":2.0417592440654957,"y":2.5544724759635393},"end":{"x":2.0417592440654957,"y":2.5544724759635393}},{"startTime":3.4699835976044024,"endTime":4.048314197205136,"start":{"x":2.0417592440654957,"y":2.5544724759635393},"end":{"x":2.0417592440654957,"y":2.5544724759635393}},{"startTime":4.048314197205136,"endTime":4.62664479680587,"start":{"x":2.0417592440654957,"y":2.5544724759635393},"end":{"x":2.0417592440654957,"y":2.5544724759635393}},{"startTime":4.62664479680587,"endTime":5.204975396406604,"start":{"x":2.0417592440654957,"y":2.5544724759635393},"end":{"x":2.0417592440654957,"y":2.5544724759635393}},{"startTime":5.204975396406604,"endTime":5.783305996007337,"start":{"x":2.0417592440654957,"y":2.5544724759635393},"end":{"x":2.0417592440654957,"y":2.5544724759635393}},{"startTime":5.783305996007337,"endTime":6.361636595608071,"start":{"x":2.0417592440654957,"y":2.5544724759635393},"end":{"x":2.0417592440654957,"y":2.5544724759635393}}]}]
4 [{"footSteps":[{"startTime":0.0,"endTime":0.5990713434981434,"start":{"x":2.8352578875171472,"y":0.7180096021947873},"end":{"x":3.4154396273983654,"y":1.3040630509398254}},{"startTime":0.5990713434981434,"endTime":1.1981426869962868,"start":{"x":3.4154396273983654,"y":1.3040630509398254},"end":{"x":3.3864477523865184,"y":2.1021199127557813}},{"startTime":1.1981426869962868,"endTime":1.7972140304944302,"start":{"x":3.3864477523865184,"y":2.1021199127557813},"end":{"x":3.2051965121595343,"y":2.472478336361304}},{"startTime":1.7972140304944302,"endTime":2.3962853739925736,"start":{"x":3.2051965121595343,"y":2.472478336361304},"end":{"x":3.2051965121595343,"y":2.472478336361304}},{"startTime":2.3962853739925736,"endTime":2.9953567174907167,"start":{"x":3.2051965121595343,"y":2.472478336361304},"end":{"x":3.2051965121595343,"y":2.472478336361304}},{"startTime":2.9953567174907167,"endTime":3.59442806098886,"start":{"x":3.2051965121595343,"y":2.472478336361304},"end":{"x":3.2051965121595343,"y":2.472478336361304}},{"startTime":3.59442806098886,"endTime":4.193499404487003,"start":{"x":3.2051965121595343,"y":2.472478336361304},"end":{"x":3.2051965121595343,"y":2.472478336361304}},{"startTime":4.193499404487003,"endTime":4.792570747985146,"start":{"x":3.2051965121595343,"y":2.472478336361304},"end":{"x":3.2051965121595343,"y":2.472478336361304}},{"startTime":4.792570747985146,"endTime":5.391642091483289,"start":{"x":3.2051965121595343,"y":2.472478336361304},"end":{"x":3.2051965121595343,"y":2.472478336361304}},{"startTime":5.391642091483289,"endTime":5.990713434981433,"start":{"x":3.2051965121595343,"y":2.472478336361304},"end":{"x":3.2051965121595343,"y":2.472478336361304}},{"startTime":5.990713434981433,"endTime":6.589784778479576,"start":{"x":3.2051965121595343,"y":2.472478336361304},"end":{"x":3.2060409712193225,"y":2.32427986369516}}]}]
5 [{"footSteps":[{"startTime":0.0,"endTime":0.7534283806032128,"start":{"x":3.037257887517147,"y":0.7180096021947873},"end":{"x":2.3221187406467205,"y":0.8947032525682349}},{"startTime":0.7534283806032128,"endTime":1.5068567612064256,"start":{"x":2.3221187406467205,"y":0.8947032525682349},"end":{"x":1.7143175130519896,"y":1.2835771645566951}},{"startTime":1.5068567612064256,"endTime":2.2602851418096384,"start":{"x":1.7143175130519896,"y":1.2835771645566951},"end":{"x":1.0361223938287334,"y":1.2267655698864148}},{"startTime":2.2602851418096384,"endTime":3.0137135224128513,"start":{"x":1.0361223938287334,"y":1.2267655698864148},"end":{"x":0.7598808269546335,"y":1.3188460921777816}},{"startTime":3.0137135224128513,"endTime":3.767141903016064,"start":{"x":0.7598808269546335,"y":1.3188460921777816},"end":{"x":0.5696653408097987,"y":0.6071841539658664}},{"startTime":3.767141903016064,"endTime":4.520570283619277,"start":{"x":0.5696653408097987,"y":0.6071841539658664},"end":{"x":0.5696653408097987,"y":0.6071841539658664}},{"startTime":4.520570283619277,"endTime":5.273998664222489,"start":{"x":0.5696653408097987,"y":0.6071841539658664},"end":{"x":0.5696653408097987,"y":0.6071841539658664}},{"startTime":5.273998664222489,"endTime":6.027427044825702,"start":{"x":0.5696653408097987,"y":0.6071841539658664},"end":{"x":0.5696653408097987,"y":0.6071841539658664}}]}]
6 [{"footSteps":[{"startTime":0.0,"endTime":0.6110753932043828,"start":{"x":3.239257887517147,"y":0.7180096021947873},"end":{"x":3.8337807558076022,"y":0.9719270831939031}},{"startTime":0.6110753932043828,"endTime":1.2221507864087655,"start":{"x":3.8337807558076022,"y":0.9719270831939031},"end":{"x":4.179238996399269,"y":1.1932720293034618}},{"startTime":1.2221507864087655,"endTime":1.8332261796131482,"start":{"x":4.179238996399269,"y":1.1932720293034618},"end":{"x":3.9740957652405653,"y":1.6035584916208687}},{"startTime":1.8332261796131482,"endTime":2.444301572817531,"start":{"x":3.9740957652405653,"y":1.6035584916208687},"end":{"x":3.9740957652405653,"y":1.6035584916208687}},{"startTime":2.444301572817531,"endTime":3.055376966021914,"start":{"x":3.9740957652405653,"y":1.6035584916208687},"end":{"x":3.9740957652405653,"y":1.6035584916208687}},{"startTime":3.055376966021914,"endTime":3.6664523592262968,"start":{"x":3.9740957652405653,"y":1.6035584916208687},"end":{"x":3.9740957652405653,"y":1.6035584916208687}},{"startTime":3.6664523592262968,"endTime":4.27752775243068,"start":{"x":3.9740957652405653,"y":1.6035584916208687},"end":{"x":3.9740957652405653,"y":1.6035584916208687}},{"startTime":4.27752775243068,"endTime":4.888603145635062,"start":{"x":3.9740957652405653,"y":1.6035584916208687},"end":{"x":3.9740957652405653,"y":1.6035584916208687}},{"startTime":4.888603145635062,"endTime":5.4996785388394445,"start":{"x":3.9740957652405653,"y":1.6035584916208687},"end":{"x":4.021604563397119,"y":1.4073268794354927}},{"startTime":5.4996785388394445,"endTime":6.110753932043827,"start":{"x":4.021604563397119,"y":1.4073268794354927},"end":{"x":4.021604563397119,"y":1.4073268794354927}}]}]
7 [{"footSteps":[{"startTime":0.0,"endTime":0.7725653212158828,"start":{"x":6.6846762688614545,"y":0.6583388203017835},"end":{"x":6.11680832699388,"y":1.0198924541304213}},{"startTime":0.7725653212158828,"endTime":1.5451306424317657,"start":{"x":6.11680832699388,"y":1.0198924541304213},"end":{"x":5.510004828050363,"y":1.1927044819463564}},{"startTime":1.5451306424317657,"endTime":2.3176959636476484,"start":{"x":5.510004828050363,"y":1.1927044819463564},"end":{"x":5.20569806058121,"y":1.0378151407695495}},{"startTime":2.3176959636476484,"endTime":3.0902612848635314,"start":{"x":5.20569806058121,"y":1.0378151407695495},"end":{"x":5.20569806058121,"y":1.0378151407695495}},{"startTime":3.0902612848635314,"endTime":3.8628266060794143,"start":{"x":5.20569806058121,"y":1.0378151407695495},"end":{"x":5.20569806058121,"y":1.0378151407695495}},{"startTime":3.8628266060794143,"endTime":4.635391927295297,"start":{"x":5.20569806058121,"y":1.0378151407695495},"end":{"x":5.20569806058121,"y":1.0378151407695495}},{"startTime":4.635391927295297,"endTime":5.407957248511179,"start":{"x":5.20569806058121,"y":1.0378151407695495},"end":{"x":5.20569806058121,"y":1.0378151407695495}},{"startTime":5.407957248511179,"endTime":6.180522569727062,"start":{"x":5.20569806058121,"y":1.0378151407695495},"end":{"x":5.20569806058121,"y":1.0378151407695495}}]}]
8 [{"footSteps":[{"startTime":0.0,"endTime":0.7575288392742312,"start":{"x":6.8866762688614545,"y":0.6583388203017835},"end":{"x":6.540320010868301,"y":1.2871298793925814}},{"startTime":0.7575288392742312,"endTime":1.5150576785484624,"start":{"x":6.540320010868301,"y":1.2871298793925814},"end":{"x":5.86232785622513,"y":1.5568781081153338}},{"startTime":1.5150576785484624,"endTime":2.2725865178226936,"start":{"x":5.86232785622513,"y":1.5568781081153338},"end":{"x":5.47468369397682,"y":2.1725482481567724}},{"startTime":2.2725865178226936,"endTime":3.030115357096925,"start":{"x":5.47468369397682,"y":2.1725482481567724},"end":{"x":5.036995852819798,"y":2.1681930935204536}},{"startTime":3.030115357096925,"endTime":3.787644196371156,"start":{"x":5.036995852819798,"y":2.1681930935204536},"end":{"x":5.036995852819798,"y":2.1681930935204536}},{"startTime":3.787644196371156,"endTime":4.545173035645387,"start":{"x":5.036995852819798,"y":2.1681930935204536},"end":{"x":5.036995852819798,"y":2.1681930935204536}},{"startTime":4.545173035645387,"endTime":5.302701874919618,"start":{"x":5.036995852819798,"y":2.1681930935204536},"end":{"x":5.036995852819798,"y":2.1681930935204536}},{"startTime":5.302701874919618,"endTime":6.06023071419385,"start":{"x":5.036995852819798,"y":2.1681930935204536},"end":{"x":5.036995852819798,"y":2.1681930935204536}}]}]
9 [{"footSteps":[{"startTime":0.0,"endTime":0.7401943283299441,"start":{"x":7.088676268861454,"y":0.6583388203017835},"end":{"x":7.088676268861454,"y":1.3346693010676605}},{"startTime":0.7401943283299441,"endTime":1.4803886566598883,"start":{"x":7.088676268861454,"y":1.3346693010676605},"end":{"x":7.004886668942994,"y":2.005789426051636}},{"startTime":1.4803886566598883,"endTime":2.220582984989832,"start":{"x":7.004886668942994,"y":2.005789426051636},"end":{"x":6.666721428560056,"y":2.3439546664345743}},{"startTime":2.220582984989832,"endTime":2.9607773133197766,"start":{"x":6.666721428560056,"y":2.3439546664345743},"end":{"x":6.40816047940938,"y":2.3555422096587506}},{"startTime":2.9607773133197766,"endTime":3.700971641649721,"start":{"x":6.40816047940938,"y":2.3555422096587506},"end":{"x":6.159032335338601,"y":2.3512856765039456}},{"startTime":3.700971641649721,"endTime":4.441165969979665,"start":{"x":6.159032335338601,"y":2.3512856765039456},"end":{"x":6.159032335338601,"y":2.3512856765039456}},{"startTime":4.441165969979665,"endTime":5.18136029830961,"start":{"x":6.159032335338601,"y":2.3512856765039456},"end":{"x":6.159032335338601,"y":2.3512856765039456}},{"startTime":5.18136029830961,"endTime":5.921554626639554,"start":{"x":6.159032335338601,"y":2.3512856765039456},"end":{"x":6.159032335338601,"y":2.3512856765039456}},{"startTime":5.921554626639554,"endTime":6.661748954969498,"start":{"x":6.159032335338601,"y":2.3512856765039456},"end":{"x":6.159032335338601,"y":2.3512856765039456}}]}]
10 [{"footSteps":[{"startTime":0.0,"endTime":0.740368188824364,"start":{"x":7.290676268861454,"y":0.6583388203017835},"end":{"x":7.743019599908837,"y":1.1385687625693202}},{"startTime":0.740368188824364,"endTime":1.480736377648728,"start":{"x":7.743019599908837,"y":1.1385687625693202},"end":{"x":7.451773470422526,"y":0.9836994185803498}},{"startTime":1.480736377648728,"endTime":2.221104566473092,"start":{"x":7.451773470422526,"y":0.9836994185803498},"end":{"x":6.851393888586263,"y":1.2102217044110497}},{"startTime":2.221104566473092,"endTime":2.961472755297456,"start":{"x":6.851393888586263,"y":1.2102217044110497},"end":{"x":6.346750037648317,"y":1.1932066589056938}},{"startTime":2.961472755297456,"endTime":3.7018409441218196,"start":{"x":6.346750037648317,"y":1.1932066589056938},"end":{"x":6.346750037648317,"y":1.1932066589056938}},{"startTime":3.7018409441218196,"endTime":4.442209132946184,"start":{"x":6.346750037648317,"y":1.1932066589056938},"end":{"x":6.346750037648317,"y":1.1932066589056938}},{"startTime":4.442209132946184,"endTime":5.182577321770548,"start":{"x":6.346750037648317,"y":1.1932066589056938},"end":{"x":6.346750037648317,"y":1.1932066589056938}},{"startTime":5.182577321770548,"endTime":5.9229455105949125,"start":{"x":6.346750037648317,"y":1.1932066589056938},"end":{"x":6.346750037648317,"y":1.1932066589056938}},{"startTime":5.9229455105949125,"endTime":6.663313699419277,"start":{"x":6.346750037648317,"y":1.1932066589056938},"end":{"x":6.346750037648317,"y":1.1932066589056938}}]}]
