#IDXCOL=1,DATACOL=6,SEP=' '
timeStep areaDensityCounting-PID5 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11
221 6 7 3 6 5 3
222 6 7 3 6 5 3
223 6 7 3 6 5 3
224 6 7 3 6 5 3
225 6 7 3 7 4 3
226 6 6 4 7 4 3
227 6 6 4 7 4 3
228 6 6 4 7 4 3
229 6 6 4 7 4 3
230 6 6 4 7 4 3
231 6 6 4 7 4 3
232 6 6 4 7 4 3
233 6 6 4 7 4 3
234 6 6 4 7 4 3
235 6 6 4 7 4 3
236 6 6 4 7 4 3
237 6 6 4 7 4 3
238 6 6 4 7 4 3
239 6 6 4 7 4 3
240 6 6 4 7 4 3
241 6 6 4 7 4 3
242 6 6 4 7 4 3
243 6 6 4 7 4 3
244 6 6 4 7 4 3
245 6 6 4 7 4 3
246 6 6 4 7 4 3
247 6 6 4 7 4 3
248 6 6 4 7 4 3
249 6 6 4 7 4 3
250 6 6 4 7 4 3
251 6 6 4 7 4 3
