#IDXCOL=1,DATACOL=6,SEP=' '
timeStep areaDensityCounting-PID5 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11
1 0 0 10 0 10 6
2 0 0 10 0 10 6
3 4 5 5 4 14 8
4 6 6 5 5 13 7
5 9 6 5 8 10 8
6 9 7 7 7 8 10
7 11 7 6 7 8 11
8 11 8 6 6 9 10
9 11 8 5 7 8 11
10 10 8 6 8 7 11
11 10 7 7 8 7 11
12 10 7 7 8 7 11
13 10 7 7 8 7 11
14 10 7 7 8 7 11
15 10 7 7 8 7 11
16 9 7 8 8 7 11
17 9 8 7 8 7 11
18 9 8 7 8 7 11
19 10 7 7 8 7 11
20 10 8 6 8 7 11
21 10 8 6 8 7 11
22 11 7 7 8 7 10
23 11 8 6 8 7 10
24 11 8 6 8 7 10
25 11 8 6 8 7 10
26 11 7 7 8 7 10
27 11 7 7 8 7 10
28 11 7 7 8 7 10
29 11 7 7 8 7 10
30 11 7 7 8 7 10
31 11 7 7 8 7 10
32 11 7 7 8 7 10
33 11 7 7 8 7 10
34 11 7 7 8 7 10
35 11 7 7 8 7 10
36 11 7 7 8 7 10
37 11 7 7 8 7 10
38 11 7 7 8 7 10
39 11 7 7 8 7 10
40 11 7 7 8 7 10
41 11 7 7 8 7 10
42 11 7 7 8 7 10
43 11 7 7 8 7 10
44 11 7 7 8 7 10
45 11 7 7 8 7 10
46 11 7 7 8 7 10
47 11 7 7 8 7 10
48 11 7 7 8 7 10
49 11 7 7 8 7 10
50 10 7 7 8 7 11
51 10 7 7 8 7 11
52 10 7 7 8 7 11
53 10 7 7 8 7 11
54 10 7 7 8 7 11
55 10 7 7 8 7 11
56 10 7 7 8 7 11
57 10 7 7 8 7 11
58 10 7 7 8 7 11
59 10 7 7 8 7 11
60 10 7 7 8 7 11
61 10 7 7 8 7 11
62 10 7 7 8 7 11
63 10 7 7 8 7 11
64 10 7 7 8 7 11
65 10 7 7 8 7 11
66 10 7 7 8 7 11
67 10 7 7 8 7 11
68 10 7 7 8 7 11
69 10 7 7 8 7 11
70 10 7 7 8 7 11
71 10 7 7 8 7 11
72 10 7 7 8 7 11
73 10 7 7 8 7 11
74 10 7 7 8 7 11
75 10 7 7 8 7 11
76 10 7 7 8 7 11
77 10 7 7 8 7 11
78 10 7 7 8 7 11
79 10 7 7 8 7 11
80 10 7 7 8 7 11
81 10 7 7 8 7 11
82 10 7 7 8 7 11
83 10 7 7 8 7 11
84 10 7 7 8 7 11
85 10 7 7 8 7 11
86 10 7 7 8 7 11
87 10 7 7 8 7 11
88 10 7 7 8 7 11
89 10 7 7 8 7 11
90 10 7 7 8 7 11
91 10 7 7 8 7 11
92 10 7 7 8 7 11
93 10 7 7 8 7 11
94 10 7 7 8 7 11
95 10 7 7 8 7 11
96 10 7 7 8 7 11
97 10 7 7 8 7 11
98 10 7 7 8 7 11
99 10 7 7 8 7 11
100 10 7 7 8 7 11
101 10 7 7 8 7 11
102 10 7 7 8 7 11
103 10 7 7 8 7 11
104 10 7 7 8 7 11
105 10 7 7 8 7 11
106 10 7 7 8 7 11
107 10 7 7 8 7 11
108 10 7 7 8 7 11
109 10 7 7 8 7 11
110 10 7 7 8 7 11
111 10 7 7 8 7 11
112 10 7 7 8 7 11
113 10 7 7 8 7 11
114 10 7 7 8 7 11
115 10 7 7 8 7 11
116 10 7 7 8 7 11
117 10 7 7 8 7 11
118 10 7 7 8 7 11
119 10 7 7 8 7 11
120 10 7 7 8 7 11
121 10 7 7 8 7 11
122 10 7 7 8 7 11
123 10 7 7 8 7 11
124 10 7 7 8 7 11
125 10 7 7 8 7 11
126 10 7 7 8 7 11
