timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13 areaDensityCounting-PID14 areaDensityCounting-PID15 areaDensityCounting-PID16 areaDensityCounting-PID17
1 0 0 10 0 10 6 0 0 10 0 10 0 6
2 0 0 10 0 10 6 0 0 10 0 10 0 6
3 1 3 7 5 13 8 3 0 13 3 7 2 8
4 1 2 8 5 15 11 3 0 17 3 7 2 10
5 3 3 7 8 12 12 6 0 14 5 5 3 13
6 4 3 8 11 8 13 7 0 14 5 5 5 12
7 6 5 6 11 7 15 7 1 14 5 4 6 13
8 6 4 6 11 7 15 8 1 13 5 4 8 11
9 6 4 6 11 6 15 8 1 13 5 4 8 11
10 8 6 6 10 6 14 9 1 11 6 3 7 12
11 8 6 7 9 7 14 9 1 11 7 3 6 12
12 8 5 8 8 8 14 9 1 11 7 3 7 11
13 8 5 8 10 6 14 9 1 11 7 3 8 10
14 8 5 8 11 6 14 9 0 11 7 3 7 11
15 8 5 8 11 6 14 9 1 10 7 3 7 11
16 8 5 8 10 6 14 9 1 10 6 4 7 11
17 8 5 8 10 6 14 8 1 11 6 4 7 11
18 8 6 7 11 5 14 7 1 12 6 4 7 11
19 8 6 7 11 5 14 8 1 11 6 4 7 11
20 8 6 7 11 5 14 8 1 11 7 3 8 10
21 8 6 7 10 7 14 8 1 10 6 4 8 10
22 8 6 7 10 7 14 8 1 10 6 4 9 9
23 8 6 7 10 7 14 7 1 11 6 4 9 9
24 8 6 7 10 7 14 7 1 11 5 5 7 11
25 8 6 7 10 7 14 8 1 10 4 6 8 10
26 9 6 7 10 7 13 9 1 9 5 5 8 10
27 9 6 7 10 7 13 8 1 10 6 4 8 10
28 9 6 7 10 7 13 8 2 9 6 4 8 10
29 9 5 8 11 7 13 7 1 10 6 4 8 10
30 9 5 8 11 7 13 7 1 10 6 4 8 10
31 9 5 8 11 7 13 7 1 10 5 5 9 9
32 9 5 8 11 7 13 8 1 9 5 5 8 10
33 9 5 8 11 7 13 8 1 9 4 6 8 10
34 9 6 8 10 7 13 7 1 10 4 6 9 9
35 9 6 8 10 7 13 8 1 9 4 6 8 10
36 9 6 9 10 7 13 8 1 9 5 6 7 10
37 9 6 9 10 7 13 8 1 9 5 6 6 11
38 8 5 9 10 8 14 7 1 9 6 5 6 12
39 8 6 9 9 8 14 7 1 9 6 5 7 11
40 8 6 9 10 7 14 8 1 8 6 5 7 11
41 8 6 9 10 7 14 7 1 9 6 4 9 10
42 8 6 9 9 8 14 7 1 9 5 5 8 11
43 8 6 9 10 7 14 7 1 9 5 5 7 12
44 8 6 9 10 7 14 7 1 9 5 5 8 11
45 8 6 9 10 7 14 7 1 9 5 5 9 10
46 8 6 9 10 7 14 7 1 9 5 5 9 10
47 8 6 9 10 7 14 7 1 9 5 5 8 11
