timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13 areaDensityCounting-PID14 areaDensityCounting-PID15 areaDensityCounting-PID16 areaDensityCounting-PID17
1 0 0 10 0 10 6 0 0 10 0 10 0 6
2 0 0 10 0 10 6 0 0 10 0 10 0 6
3 2 3 7 3 7 10 3 0 7 5 5 2 10
4 3 5 7 4 4 9 4 0 7 4 5 3 9
5 5 6 6 4 3 9 4 0 8 4 4 6 11
6 6 7 5 3 4 12 5 0 7 4 5 7 10
7 7 7 5 3 4 13 5 0 7 4 4 9 11
8 8 6 6 5 4 12 4 0 6 5 3 9 11
9 8 7 5 5 4 12 4 0 6 5 3 9 11
10 8 7 5 5 4 12 4 0 6 5 3 9 11
11 8 7 5 5 4 12 4 0 6 5 3 10 10
12 8 7 5 5 4 12 4 0 6 5 3 10 10
13 8 7 6 4 4 12 4 0 6 5 3 10 10
14 8 9 5 4 4 11 5 0 5 5 3 10 10
15 8 10 5 4 4 11 5 0 5 5 3 10 10
16 8 9 5 5 4 11 5 0 5 5 3 10 10
17 8 10 5 4 4 11 4 0 5 5 4 10 9
18 8 10 5 4 4 11 4 0 5 5 4 10 9
19 8 10 5 4 4 11 5 0 4 5 4 10 9
20 8 10 5 4 4 11 5 0 4 5 4 10 9
21 8 10 5 4 4 11 5 0 5 5 4 10 9
22 8 10 5 4 4 11 5 0 5 5 4 10 9
23 8 10 5 4 4 11 6 0 5 5 3 10 9
24 8 10 5 4 4 11 6 0 5 5 3 10 9
25 8 9 5 5 4 11 6 0 5 5 3 10 9
26 8 9 5 5 4 11 6 0 6 4 3 10 9
27 8 10 5 4 4 11 5 0 6 4 4 11 8
28 8 10 5 4 4 11 5 0 6 4 4 11 8
29 8 10 5 4 4 11 5 0 6 4 4 11 8
30 8 10 5 4 4 11 5 0 6 5 3 11 8
31 8 10 5 4 4 11 5 0 6 5 3 10 9
32 8 10 5 4 4 11 5 0 6 5 3 10 9
33 8 10 5 4 4 11 5 0 6 5 3 10 9
34 8 10 5 4 4 11 5 0 5 5 4 10 9
35 8 10 5 4 4 11 6 0 4 5 4 10 9
36 8 10 5 4 4 11 6 0 4 4 5 10 9
37 8 10 5 4 4 11 6 0 4 4 5 10 9
38 8 10 5 4 4 11 6 0 4 4 5 10 9
39 8 10 5 4 4 11 6 0 4 4 5 10 9
40 8 10 5 4 4 11 6 0 4 4 5 10 9
41 8 10 5 4 4 11 6 0 4 4 5 10 9
42 8 10 5 4 4 11 6 0 4 4 5 9 10
43 8 10 5 4 4 11 6 0 4 4 5 10 9
44 8 10 5 4 4 11 5 0 5 4 5 10 9
45 8 10 5 4 4 11 5 0 5 4 5 10 9
46 8 10 5 4 4 11 6 0 4 4 5 10 9
47 8 10 5 4 4 11 5 0 5 4 5 10 9
