timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13 areaDensityCounting-PID14 areaDensityCounting-PID15 areaDensityCounting-PID16 areaDensityCounting-PID17
1 0 0 10 0 10 6 0 0 10 0 10 0 6
2 0 0 10 0 10 6 0 0 10 0 10 0 6
3 2 2 8 5 15 9 4 0 16 4 6 2 8
4 2 2 8 5 15 10 5 0 15 4 6 2 10
5 4 4 6 9 11 11 7 0 13 5 5 7 9
6 7 4 7 9 10 11 8 0 12 6 5 6 11
7 7 5 8 9 8 13 9 1 10 6 6 7 11
8 8 6 8 7 9 12 10 1 9 7 5 9 9
9 9 6 8 7 9 11 10 1 9 7 5 9 9
10 9 7 6 7 9 12 9 1 10 7 5 9 9
11 9 7 6 7 9 12 9 2 9 8 4 9 8
12 9 7 6 8 9 12 9 1 9 7 5 9 8
13 9 6 7 8 9 12 9 1 9 7 5 9 8
14 9 6 8 9 8 11 8 1 10 7 5 9 8
15 9 6 7 10 7 11 9 1 9 7 5 9 8
16 9 6 7 10 8 11 9 1 7 8 5 10 7
17 9 6 7 12 7 11 9 1 7 8 5 10 7
18 9 6 7 12 7 11 9 1 7 8 5 10 7
19 10 6 7 11 7 10 9 1 7 8 5 10 7
20 10 6 7 11 7 10 9 1 7 8 5 9 8
21 9 6 7 11 7 11 9 1 7 8 5 9 8
22 9 6 7 11 7 11 9 1 7 8 5 9 8
23 10 6 7 11 7 10 9 1 7 8 5 9 8
24 10 6 7 10 8 10 9 1 7 7 6 9 8
25 10 6 7 10 8 10 8 1 8 7 6 9 8
26 10 6 7 10 8 10 7 1 8 7 6 9 8
27 10 6 7 10 8 11 7 1 8 7 6 9 8
28 10 6 7 10 8 11 6 1 9 7 6 8 9
29 10 6 7 10 8 11 6 1 9 7 6 8 9
30 10 6 7 10 8 11 6 1 9 7 6 8 9
31 10 6 7 11 7 11 6 1 9 7 6 8 9
32 10 6 7 11 7 11 6 1 9 7 6 8 9
33 10 7 6 10 8 11 6 1 9 7 6 8 9
34 10 7 6 10 8 11 6 1 9 7 6 8 9
35 10 7 6 11 7 11 6 1 9 7 6 8 9
36 10 7 6 11 7 11 6 1 9 7 6 8 9
37 10 7 6 11 7 11 6 1 9 8 5 8 9
38 10 7 6 11 7 11 6 1 9 8 5 8 9
39 10 7 6 11 7 11 6 1 9 7 6 8 9
40 10 7 6 11 7 11 6 1 9 7 6 8 9
41 10 7 6 11 7 11 6 1 9 7 6 8 9
42 10 7 6 11 7 11 6 1 9 7 6 8 9
43 10 7 6 11 7 11 6 1 9 7 6 8 9
44 10 7 6 11 7 11 6 1 9 7 6 8 9
45 10 7 6 11 7 11 6 1 9 7 6 8 9
46 10 7 6 11 7 11 6 1 9 7 6 8 9
47 10 7 6 11 7 11 6 1 9 7 6 8 9
48 10 7 6 11 7 11 6 1 9 7 6 8 9
49 10 7 6 11 7 11 6 1 9 7 6 8 9
50 10 7 6 11 7 11 6 1 9 7 6 8 9
51 10 7 6 11 7 11 6 1 9 7 6 8 9
52 10 7 6 11 7 11 6 1 9 7 6 8 9
53 10 6 7 11 7 11 6 1 9 7 6 8 9
54 10 6 7 11 7 11 6 1 9 7 6 8 9
55 10 7 6 11 7 11 6 1 9 7 6 8 9
56 10 7 6 11 7 11 6 1 9 7 6 8 9
57 10 6 7 11 7 11 6 1 9 7 6 8 9
58 10 6 7 11 7 11 6 1 9 7 6 8 9
59 10 6 7 11 7 11 6 1 9 7 6 8 9
60 10 7 7 10 7 11 6 1 9 7 6 8 9
61 10 6 8 10 7 11 6 1 9 7 6 8 9
62 10 6 8 9 8 11 6 1 9 7 6 8 9
63 10 6 8 9 8 11 6 1 9 7 6 8 9
64 10 6 8 9 8 11 6 1 9 7 6 8 9
65 10 6 8 10 7 11 6 1 9 7 6 8 9
66 10 6 8 10 7 11 6 1 9 7 6 8 9
67 10 6 8 10 7 11 6 1 9 7 6 8 9
68 10 6 8 10 7 11 6 1 9 7 6 8 9
69 10 6 8 10 7 11 6 1 9 7 6 8 9
70 10 6 8 10 7 11 6 1 9 7 6 8 9
71 10 6 8 10 7 11 6 1 9 7 6 8 9
72 10 6 8 10 7 11 6 1 9 7 6 8 9
73 10 7 8 10 7 11 7 1 9 7 6 8 9
74 10 7 8 10 7 11 7 1 9 7 6 8 9
75 10 7 8 10 7 11 7 1 9 7 6 8 9
76 10 7 8 10 7 11 7 1 9 7 6 8 9
77 10 8 7 10 7 10 7 1 9 8 5 8 9
78 10 9 7 10 7 10 7 1 9 8 5 8 9
79 10 10 6 10 7 10 7 1 9 8 5 8 9
80 10 10 6 10 7 10 7 1 9 8 5 8 9
81 10 9 7 10 7 10 7 1 9 8 5 8 9
82 10 9 7 9 8 10 7 1 9 8 5 8 9
83 10 9 7 9 8 10 7 1 9 8 5 8 9
